comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
1251,1252,313.15,COOH_COOH,0.1,0.171,,5506.0,
1251,1252,313.15,COOH_COOH,0.2,0.307,,6253.0,
1251,1252,313.15,COOH_COOH,0.3,0.423,,6973.0,
1251,1252,313.15,COOH_COOH,0.4,0.524,,7679.0,
1251,1252,313.15,COOH_COOH,0.5,0.615,,8373.0,
1251,1252,313.15,COOH_COOH,0.6,0.699,,9039.0,
1251,1252,313.15,COOH_COOH,0.7,0.779,,9693.0,
1251,1252,313.15,COOH_COOH,0.8,0.855,,10319.0,
1251,1252,313.15,COOH_COOH,0.9,0.929,,10932.0,
1251,1252,343.2,COOH_COOH,0.02,0.034,,19600.0,
1251,1252,343.2,COOH_COOH,0.048,0.078,,20200.0,
1251,1252,343.2,COOH_COOH,0.098,0.152,,21400.0,
1251,1252,343.2,COOH_COOH,0.294,0.393,,25601.0,
1251,1252,343.2,COOH_COOH,0.494,0.588,,29000.0,
1251,1252,343.2,COOH_COOH,0.696,0.762,,32800.0,
1251,1252,343.2,COOH_COOH,0.899,0.921,,36100.0,
1251,1252,343.2,COOH_COOH,0.949,0.96,,36800.0,
1251,1252,343.2,COOH_COOH,0.98,0.984,,37200.0,
1251,1252,303.15,COOH_COOH,0.117,0.177,,3373.0,
1251,1252,303.15,COOH_COOH,0.145,0.216,,3933.0,
1251,1252,303.15,COOH_COOH,0.301,0.412,,4226.0,
1251,1252,303.15,COOH_COOH,0.382,0.501,,4386.0,
1251,1252,303.15,COOH_COOH,0.514,0.632,,5226.0,
1251,1252,303.15,COOH_COOH,0.626,0.731,,5520.0,
1251,1252,303.15,COOH_COOH,0.723,0.809,,5866.0,
1251,1252,303.15,COOH_COOH,0.761,0.838,,6253.0,
1251,1252,303.15,COOH_COOH,0.898,0.934,,6533.0,
1252,1253,303.15,COOH_COOH,0.15,0.224,,1067.0,
1252,1253,303.15,COOH_COOH,0.262,0.367,,1320.0,
1252,1253,303.15,COOH_COOH,0.392,0.514,,1733.0,
1252,1253,303.15,COOH_COOH,0.547,0.665,,1880.0,
