comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
909,1252,323.15,COOH_HB-A,0.0272,0.945,,390000.0,
909,1252,323.15,COOH_HB-A,0.0405,0.961,,580000.0,
909,1252,323.15,COOH_HB-A,0.0533,0.959,,770001.0,
909,1252,298.15,COOH_HB-A,0.0344,0.965,,340000.0,
909,1252,298.15,COOH_HB-A,0.0445,0.967,,440000.0,
909,1252,298.15,COOH_HB-A,0.0623,0.975,,600000.0,
909,1252,298.15,COOH_HB-A,0.0688,0.976,,660001.0,
909,1252,298.15,COOH_HB-A,0.0828,0.977,,780000.0,
909,1252,348.15,COOH_HB-A,0.012,0.878,,270001.0,
909,1252,348.15,COOH_HB-A,0.0174,0.926,,390000.0,
909,1252,348.15,COOH_HB-A,0.0254,0.933,,560001.0,
909,1252,348.15,COOH_HB-A,0.0354,0.954,,770001.0,
1005,1252,323.2,COOH_HB-A,0.026,0.114,,9301.0,
1005,1252,323.2,COOH_HB-A,0.053,0.214,,10201.0,
1005,1252,323.2,COOH_HB-A,0.091,0.322,,12100.0,
1005,1252,323.2,COOH_HB-A,0.28,0.648,,20900.0,
1005,1252,323.2,COOH_HB-A,0.481,0.815,,27100.0,
1005,1252,323.2,COOH_HB-A,0.687,0.915,,33300.0,
1005,1252,323.2,COOH_HB-A,0.894,0.978,,40299.0,
1005,1252,323.2,COOH_HB-A,0.946,0.991,,42001.0,
1005,1252,323.2,COOH_HB-A,0.979,0.997,,41601.0,
1051,1252,323.15,COOH_HB-A,0.1707,0.5765,,18025.0,
1051,1252,323.15,COOH_HB-A,0.2653,0.721,,24878.0,
1051,1252,323.15,COOH_HB-A,0.4155,0.8642,,36944.0,
1051,1252,323.15,COOH_HB-A,0.5309,0.928,,46396.0,
1051,1252,323.15,COOH_HB-A,0.5629,0.9389,,49423.0,
1051,1252,323.15,COOH_HB-A,0.7003,0.9739,,60782.0,
1051,1252,323.15,COOH_HB-A,0.8439,0.9918,,71114.0,
1051,1252,328.15,COOH_HB-A,0.106,0.374,,15505.0,
1051,1252,328.15,COOH_HB-A,0.154,0.466,,18185.0,
1051,1252,328.15,COOH_HB-A,0.322,0.729,,28704.0,
1051,1252,328.15,COOH_HB-A,0.407,0.8265,,34504.0,
1051,1252,328.15,COOH_HB-A,0.499,0.904,,41757.0,
1051,1252,328.15,COOH_HB-A,0.569,0.938,,47290.0,
1051,1252,328.15,COOH_HB-A,0.651,0.9649,,54476.0,
1051,1252,328.15,COOH_HB-A,0.75,0.9845,,63475.0,
1051,1252,328.15,COOH_HB-A,0.778,0.9885,,66288.0,
1051,1252,328.15,COOH_HB-A,0.932,0.9975,,84136.0,
1051,1252,328.15,COOH_HB-A,0.967,0.9993,,90081.0,
1051,1252,318.15,COOH_HB-A,0.056,0.256,,8839.0,
1051,1252,318.15,COOH_HB-A,0.162,0.551,,14199.0,
1051,1252,318.15,COOH_HB-A,0.232,0.661,,17905.0,
1051,1252,318.15,COOH_HB-A,0.28,0.713,,20612.0,
1051,1252,318.15,COOH_HB-A,0.412,0.8488,,28891.0,
1051,1252,318.15,COOH_HB-A,0.558,0.9375,,37904.0,
1051,1252,318.15,COOH_HB-A,0.645,0.966,,43452.0,
1051,1252,318.15,COOH_HB-A,0.738,0.985,,50036.0,
1051,1252,318.15,COOH_HB-A,0.837,0.9948,,56902.0,
1051,1252,318.15,COOH_HB-A,0.896,0.998,,60848.0,
1051,1252,318.15,COOH_HB-A,0.934,0.9985,,63542.0,
1051,1252,303.15,COOH_HB-A,0.151,0.656,,6906.0,
1051,1252,303.15,COOH_HB-A,0.2932,0.8302,,11732.0,
1051,1252,303.15,COOH_HB-A,0.4813,0.9282,,18559.0,
1051,1252,303.15,COOH_HB-A,0.5406,0.9473,,20692.0,
1051,1252,303.15,COOH_HB-A,0.6136,0.9656,,23465.0,
1051,1252,303.15,COOH_HB-A,0.7242,0.983,,27184.0,
1051,1252,303.15,COOH_HB-A,0.8736,0.9955,,32464.0,
1051,1252,313.15,COOH_HB-A,0.0566,0.3277,,6586.0,
1051,1252,313.15,COOH_HB-A,0.2375,0.7425,,14959.0,
1051,1252,313.15,COOH_HB-A,0.4207,0.8885,,24931.0,
1051,1252,313.15,COOH_HB-A,0.5157,0.93,,29958.0,
1051,1252,313.15,COOH_HB-A,0.5616,0.9455,,32357.0,
1051,1252,313.15,COOH_HB-A,0.6778,0.9732,,39050.0,
1051,1252,313.15,COOH_HB-A,0.8445,0.9928,,48276.0,
1051,1252,308.15,COOH_HB-A,0.0508,0.2735,,5346.0,
1051,1252,308.15,COOH_HB-A,0.105,0.47,,7339.0,
1051,1252,308.15,COOH_HB-A,0.1682,0.6157,,9829.0,
1051,1252,308.15,COOH_HB-A,0.2245,0.7056,,12312.0,
1051,1252,308.15,COOH_HB-A,0.2781,0.7714,,14484.0,
1051,1252,308.15,COOH_HB-A,0.3685,0.8499,,18025.0,
1051,1252,308.15,COOH_HB-A,0.4445,0.8968,,21018.0,
1051,1252,308.15,COOH_HB-A,0.5231,0.928,,24374.0,
1051,1252,308.15,COOH_HB-A,0.5967,0.9508,,27711.0,
1051,1252,308.15,COOH_HB-A,0.6755,0.9695,,31344.0,
1051,1252,308.15,COOH_HB-A,0.8795,0.9971,,40690.0,
1051,1252,308.15,COOH_HB-A,0.921,0.9983,,42690.0,
1052,1256,352.15,COOH_HB-A,0.0059,0.1594,,3984.0,
1052,1256,352.15,COOH_HB-A,0.0731,0.6687,,10666.0,
1052,1256,352.15,COOH_HB-A,0.2019,0.8728,,23085.0,
1052,1256,352.15,COOH_HB-A,0.2522,0.9015,,27728.0,
1052,1256,352.15,COOH_HB-A,0.4122,0.9502,,43263.0,
1052,1256,352.15,COOH_HB-A,0.4582,0.9588,,47625.0,
1052,1256,352.15,COOH_HB-A,0.6786,0.9843,,66808.0,
1052,1256,352.15,COOH_HB-A,0.8053,0.9927,,78372.0,
1052,1256,352.15,COOH_HB-A,0.8801,0.9948,,84354.0,
1052,1256,352.15,COOH_HB-A,0.9042,0.9967,,86977.0,
