comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
1102,1252,323.2,COOH_OH,0.029,0.055,,8201.0,
1102,1252,323.2,COOH_OH,0.058,0.11,,8401.0,
1102,1252,323.2,COOH_OH,0.096,0.18,,9001.0,
1102,1252,323.2,COOH_OH,0.29,0.503,,12100.0,
1102,1252,323.2,COOH_OH,0.488,0.763,,16000.0,
1102,1252,323.2,COOH_OH,0.686,0.919,,21000.0,
1102,1252,323.2,COOH_OH,0.894,0.986,,27200.0,
1102,1252,323.2,COOH_OH,0.947,0.995,,28700.0,
1102,1252,323.2,COOH_OH,0.978,0.998,,29600.0,
1103,1252,313.15,COOH_OH,0.1,0.094,,4640.0,
1103,1252,313.15,COOH_OH,0.201,0.197,,4626.0,
1103,1252,313.15,COOH_OH,0.299,0.313,,4626.0,
1103,1252,313.15,COOH_OH,0.399,0.435,,4626.0,
1103,1252,313.15,COOH_OH,0.496,0.575,,4813.0,
1103,1252,313.15,COOH_OH,0.599,0.725,,5066.0,
1103,1252,313.15,COOH_OH,0.7,0.837,,5613.0,
1103,1252,313.15,COOH_OH,0.799,0.925,,6053.0,
1103,1252,313.15,COOH_OH,0.899,0.977,,6386.0,
1105,1252,323.2,COOH_OH,0.021,0.007,,7499.0,
1105,1252,323.2,COOH_OH,0.052,0.02,,7299.0,
1105,1252,323.2,COOH_OH,0.103,0.042,,6799.0,
1105,1252,323.2,COOH_OH,0.309,0.162,,5400.0,
1105,1252,323.2,COOH_OH,0.501,0.365,,4600.0,
1105,1252,323.2,COOH_OH,0.746,0.748,,4100.0,
1105,1252,323.2,COOH_OH,0.896,0.936,,4300.0,
1105,1252,323.2,COOH_OH,0.949,0.975,,4500.0,
1105,1252,323.2,COOH_OH,0.98,0.991,,4500.0,
1106,10014,378.15,COOH_OH,0.0551,0.4026,,10133.0,
1106,10014,378.15,COOH_OH,0.0826,0.4931,,11666.0,
1106,10014,378.15,COOH_OH,0.1131,0.561,,13532.0,
1106,10014,378.15,COOH_OH,0.1397,0.616,,14932.0,
1106,10014,378.15,COOH_OH,0.1587,0.6564,,16239.0,
1106,10014,378.15,COOH_OH,0.1912,0.6978,,18265.0,
1106,10014,378.15,COOH_OH,0.2245,0.7368,,20265.0,
1106,10014,378.15,COOH_OH,0.2574,0.766,,22238.0,
1106,10014,378.15,COOH_OH,0.3193,0.8208,,26465.0,
1106,10014,378.15,COOH_OH,0.3483,0.8434,,28798.0,
1106,10014,378.15,COOH_OH,0.4034,0.8763,,33464.0,
1106,10014,378.15,COOH_OH,0.4207,0.8849,,34531.0,
1106,10014,378.15,COOH_OH,0.5071,0.9147,,42023.0,
1106,10014,378.15,COOH_OH,0.5729,0.9448,,48423.0,
1106,10014,378.15,COOH_OH,0.651,0.9648,,56235.0,
1106,10014,378.15,COOH_OH,0.706,0.9748,,62302.0,
1106,10014,378.15,COOH_OH,0.8005,0.9889,,72794.0,
1106,10014,378.15,COOH_OH,0.94,0.9981,,83060.0,
1106,10014,353.15,COOH_OH,0.0275,0.2408,,2626.0,
1106,10014,353.15,COOH_OH,0.0462,0.3591,,3066.0,
1106,10014,353.15,COOH_OH,0.0735,0.4643,,3680.0,
1106,10014,353.15,COOH_OH,0.0964,0.5259,,4106.0,
1106,10014,353.15,COOH_OH,0.1386,0.6157,,5106.0,
1106,10014,353.15,COOH_OH,0.1848,0.6838,,5973.0,
1106,10014,353.15,COOH_OH,0.2489,0.7525,,7439.0,
1106,10014,353.15,COOH_OH,0.3555,0.8441,,10013.0,
1106,10014,353.15,COOH_OH,0.4162,0.8785,,11492.0,
1106,10014,353.15,COOH_OH,0.4982,0.919,,14039.0,
1106,10014,353.15,COOH_OH,0.5799,0.9452,,16732.0,
1106,10014,353.15,COOH_OH,0.6528,0.966,,19692.0,
1106,10014,353.15,COOH_OH,0.7228,0.98,,22238.0,
1106,10014,353.15,COOH_OH,0.818,0.9925,,26531.0,
1106,10014,353.15,COOH_OH,0.8808,0.9972,,28931.0,
1106,10014,365.65,COOH_OH,0.035,0.2901,,5133.0,
1106,10014,365.65,COOH_OH,0.0442,0.3492,,5600.0,
1106,10014,365.65,COOH_OH,0.0555,0.396,,6000.0,
1106,10014,365.65,COOH_OH,0.0955,0.5285,,7653.0,
1106,10014,365.65,COOH_OH,0.1371,0.6056,,9199.0,
1106,10014,365.65,COOH_OH,0.2013,0.709,,11239.0,
1106,10014,365.65,COOH_OH,0.25,0.7597,,13172.0,
1106,10014,365.65,COOH_OH,0.3605,0.8421,,17465.0,
1106,10014,365.65,COOH_OH,0.4156,0.8808,,19998.0,
1106,10014,365.65,COOH_OH,0.4631,0.8998,,22838.0,
1106,10014,365.65,COOH_OH,0.5908,0.9485,,29771.0,
1106,10014,365.65,COOH_OH,0.6874,0.9724,,35997.0,
1106,10014,365.65,COOH_OH,0.8063,0.9895,,43730.0,
1106,10014,365.65,COOH_OH,0.9273,0.9981,,51996.0,
1252,1109,333.15,COOH_OH,0.304,0.358,,4500.0,
1252,1109,333.15,COOH_OH,0.405,0.482,,5100.0,
1252,1109,333.15,COOH_OH,0.531,0.665,,6100.0,
1252,1109,333.15,COOH_OH,0.604,0.728,,6699.0,
1252,1109,333.15,COOH_OH,0.707,0.831,,7799.0,
1252,1109,333.15,COOH_OH,0.798,0.883,,8901.0,
1252,1109,333.15,COOH_OH,0.901,0.96,,10201.0,
1921,1252,353.05,COOH_OH,0.05,0.094,,29744.0,
1921,1252,353.05,COOH_OH,0.1,0.1685,,31531.0,
1921,1252,353.05,COOH_OH,0.2,0.2935,,34371.0,
1921,1252,353.05,COOH_OH,0.3,0.4072,,36637.0,
1921,1252,353.05,COOH_OH,0.4,0.51,,38584.0,
1921,1252,353.05,COOH_OH,0.5,0.607,,40370.0,
1921,1252,353.05,COOH_OH,0.6,0.6965,,41997.0,
1921,1252,353.05,COOH_OH,0.7,0.7785,,43543.0,
1921,1252,353.05,COOH_OH,0.8,0.8405,,44916.0,
1921,1252,353.05,COOH_OH,0.9,0.9195,,46103.0,
1921,1252,353.05,COOH_OH,0.95,0.9585,,46650.0,
1921,1252,313.15,COOH_OH,0.0984,0.1457,,5208.0,
1921,1252,313.15,COOH_OH,0.2574,0.3416,,5929.0,
1921,1252,313.15,COOH_OH,0.304,0.3916,,6081.0,
1921,1252,313.15,COOH_OH,0.4188,0.5093,,6375.0,
1921,1252,313.15,COOH_OH,0.5465,0.6212,,6627.0,
1921,1252,313.15,COOH_OH,0.6534,0.7161,,6825.0,
1921,1252,313.15,COOH_OH,0.7051,0.7651,,6909.0,
1921,1252,313.15,COOH_OH,0.7899,0.8448,,7054.0,
1921,1252,313.15,COOH_OH,0.8585,0.9012,,7181.0,
1921,1252,313.15,COOH_OH,0.9183,0.9467,,7279.0,
1921,1252,313.15,COOH_OH,0.9573,0.9739,,7322.0,
1921,1252,308.15,COOH_OH,0.1731,0.2308,,4266.0,
1921,1252,308.15,COOH_OH,0.2583,0.3336,,4537.0,
1921,1252,308.15,COOH_OH,0.3603,0.4471,,4777.0,
1921,1252,308.15,COOH_OH,0.481,0.5619,,4962.0,
1921,1252,308.15,COOH_OH,0.5949,0.6765,,5106.0,
1921,1252,308.15,COOH_OH,0.6955,0.7646,,5245.0,
1921,1252,308.15,COOH_OH,0.7618,0.8133,,5325.0,
1921,1252,308.15,COOH_OH,0.8397,0.8864,,5444.0,
1921,1252,308.15,COOH_OH,0.8807,0.9202,,5506.0,
1921,1252,308.15,COOH_OH,0.9226,0.9487,,5558.0,
1921,1252,308.15,COOH_OH,0.9607,0.9764,,5586.0,
1921,1252,363.05,COOH_OH,0.05,0.099,,42983.0,
1921,1252,363.05,COOH_OH,0.1,0.1747,,45996.0,
1921,1252,363.05,COOH_OH,0.2,0.3005,,50156.0,
1921,1252,363.05,COOH_OH,0.3,0.414,,53689.0,
1921,1252,363.05,COOH_OH,0.4,0.518,,56795.0,
