comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
909,1402,298.15,HB-A_HB-A,0.119,0.8878,,701680.0,
909,1402,298.45,HB-A_HB-A,0.1256,0.897,,720001.0,
1002,1442,348.15,HB-A_HB-A,0.0842,0.1217,,366001.0,
1002,1442,348.15,HB-A_HB-A,0.2864,0.378,,403000.0,
1002,1442,348.15,HB-A_HB-A,0.5807,0.6537,,458000.0,
1002,1442,348.15,HB-A_HB-A,0.854,0.8864,,510001.0,
1002,1442,348.15,HB-A_HB-A,0.969,0.9762,,531001.0,
1002,1442,348.15,HB-A_HB-A,0.9909,0.9925,,535000.0,
1002,1051,348.15,HB-A_HB-A,0.0629,0.1398,,207000.0,
1002,1051,348.15,HB-A_HB-A,0.1841,0.3517,,249000.0,
1002,1051,348.15,HB-A_HB-A,0.3929,0.5966,,323000.0,
1002,1051,348.15,HB-A_HB-A,0.7017,0.8407,,430001.0,
1002,1051,348.15,HB-A_HB-A,0.8411,0.9234,,480001.0,
1002,1051,348.15,HB-A_HB-A,0.9669,0.9846,,528001.0,
1002,1312,323.15,HB-A_HB-A,0.1257,0.3148,,101000.0,
1002,1312,323.15,HB-A_HB-A,0.3606,0.642,,143000.0,
1002,1312,323.15,HB-A_HB-A,0.5258,0.7783,,173001.0,
1002,1312,323.15,HB-A_HB-A,0.6893,0.8749,,203001.0,
1002,1312,323.15,HB-A_HB-A,0.8297,0.9387,,229000.0,
1002,1312,323.15,HB-A_HB-A,0.9023,0.9666,,243000.0,
1002,1051,298.15,HB-A_HB-A,0.0522,0.1384,,35100.0,
1002,1051,298.15,HB-A_HB-A,0.2234,0.4502,,49800.0,
1002,1051,298.15,HB-A_HB-A,0.5114,0.7299,,75600.0,
1002,1051,298.15,HB-A_HB-A,0.7598,0.8958,,97800.0,
1002,1051,298.15,HB-A_HB-A,0.8813,0.952,,110000.0,
1002,1051,298.15,HB-A_HB-A,0.9655,0.9864,,116000.0,
1002,1312,373.15,HB-A_HB-A,0.1591,0.3018,,452000.0,
1002,1312,373.15,HB-A_HB-A,0.3298,0.5276,,544001.0,
1002,1312,373.15,HB-A_HB-A,0.5254,0.7136,,653000.0,
1002,1312,373.15,HB-A_HB-A,0.6605,0.8132,,730000.0,
1002,1312,373.15,HB-A_HB-A,0.7692,0.8813,,793000.0,
1002,1442,298.15,HB-A_HB-A,0.0532,0.0881,,75500.0,
1002,1442,298.15,HB-A_HB-A,0.2021,0.2866,,83500.0,
1002,1442,298.15,HB-A_HB-A,0.4221,0.5253,,95100.0,
1002,1442,298.15,HB-A_HB-A,0.689,0.7605,,107001.0,
1002,1442,298.15,HB-A_HB-A,0.8307,0.8701,,113000.0,
1002,1442,298.15,HB-A_HB-A,0.9877,0.9898,,119000.0,
1003,1313,303.16,HB-A_HB-A,0.0124,0.0404,,16385.0,
1003,1313,303.16,HB-A_HB-A,0.0338,0.0946,,16979.0,
1003,1313,303.16,HB-A_HB-A,0.085,0.224,,18812.0,
1003,1313,303.16,HB-A_HB-A,0.1415,0.3316,,20520.0,
1003,1313,303.16,HB-A_HB-A,0.1873,0.4165,,22457.0,
1003,1313,303.16,HB-A_HB-A,0.2265,0.4903,,23617.0,
1003,1313,303.16,HB-A_HB-A,0.2755,0.551,,25817.0,
1003,1313,303.16,HB-A_HB-A,0.3077,0.5962,,28416.0,
1003,1313,303.16,HB-A_HB-A,0.4283,0.7038,,31757.0,
1003,1313,303.16,HB-A_HB-A,0.5009,0.7611,,34091.0,
1003,1313,303.16,HB-A_HB-A,0.5893,0.822,,37252.0,
1003,1313,303.16,HB-A_HB-A,0.6612,0.8585,,39778.0,
1003,1313,303.16,HB-A_HB-A,0.7457,0.8996,,42666.0,
1003,1313,303.16,HB-A_HB-A,0.8128,0.9289,,44659.0,
1003,1313,303.16,HB-A_HB-A,0.8732,0.952,,46716.0,
1003,1313,303.16,HB-A_HB-A,0.9395,0.9819,,49263.0,
1003,1312,303.16,HB-A_HB-A,0.0752,0.0999,,36641.0,
1003,1312,303.16,HB-A_HB-A,0.1354,0.1813,,37622.0,
1003,1312,303.16,HB-A_HB-A,0.196,0.2525,,38755.0,
1003,1312,303.16,HB-A_HB-A,0.2727,0.336,,39977.0,
1003,1312,303.16,HB-A_HB-A,0.3237,0.3973,,40774.0,
1003,1312,303.16,HB-A_HB-A,0.3931,0.4701,,42153.0,
1003,1312,303.16,HB-A_HB-A,0.4707,0.5512,,43210.0,
1003,1312,303.16,HB-A_HB-A,0.5528,0.6274,,44535.0,
1003,1312,303.16,HB-A_HB-A,0.6495,0.7195,,46250.0,
1003,1312,303.16,HB-A_HB-A,0.7422,0.7979,,47632.0,
1003,1312,303.16,HB-A_HB-A,0.8158,0.8537,,48720.0,
1003,1312,303.16,HB-A_HB-A,0.8741,0.903,,49672.0,
1003,1312,303.16,HB-A_HB-A,0.925,0.947,,50391.0,
1003,1052,318.15,HB-A_HB-A,0.0167,0.0472,,30651.0,
1003,1052,318.15,HB-A_HB-A,0.0435,0.117,,32184.0,
1003,1052,318.15,HB-A_HB-A,0.142,0.3337,,37984.0,
1003,1052,318.15,HB-A_HB-A,0.2048,0.4305,,41743.0,
1003,1052,318.15,HB-A_HB-A,0.3021,0.5653,,47369.0,
1003,1052,318.15,HB-A_HB-A,0.3619,0.6287,,51369.0,
1003,1052,318.15,HB-A_HB-A,0.4441,0.7052,,56502.0,
1003,1052,318.15,HB-A_HB-A,0.5272,0.7683,,62435.0,
1003,1052,318.15,HB-A_HB-A,0.6438,0.8445,,68981.0,
1003,1052,318.15,HB-A_HB-A,0.7285,0.8888,,74354.0,
1003,1052,318.15,HB-A_HB-A,0.7833,0.9168,,77954.0,
1003,1052,318.15,HB-A_HB-A,0.9176,0.9701,,85486.0,
1003,1052,318.15,HB-A_HB-A,0.969,0.9894,,88379.0,
1003,1312,313.13,HB-A_HB-A,0.0766,0.1079,,55422.0,
1003,1312,313.13,HB-A_HB-A,0.1315,0.1759,,56806.0,
1003,1312,313.13,HB-A_HB-A,0.1913,0.2515,,58183.0,
1003,1312,313.13,HB-A_HB-A,0.2648,0.3385,,59823.0,
1003,1312,313.13,HB-A_HB-A,0.3189,0.3963,,60927.0,
1003,1312,313.13,HB-A_HB-A,0.3382,0.4618,,62763.0,
1003,1312,313.13,HB-A_HB-A,0.4657,0.5459,,64433.0,
1003,1312,313.13,HB-A_HB-A,0.5458,0.6184,,66347.0,
1003,1312,313.13,HB-A_HB-A,0.6423,0.7037,,68442.0,
1003,1312,313.13,HB-A_HB-A,0.742,0.7893,,70408.0,
1003,1312,313.13,HB-A_HB-A,0.814,0.8495,,71765.0,
1003,1312,313.13,HB-A_HB-A,0.8719,0.8963,,73021.0,
1003,1312,313.13,HB-A_HB-A,0.9242,0.9361,,74253.0,
1003,1313,313.15,HB-A_HB-A,0.0113,0.0362,,25549.0,
1003,1313,313.15,HB-A_HB-A,0.0293,0.078,,26394.0,
1003,1313,313.15,HB-A_HB-A,0.0841,0.211,,29224.0,
1003,1313,313.15,HB-A_HB-A,0.1252,0.2929,,31113.0,
1003,1313,313.15,HB-A_HB-A,0.1844,0.3899,,34072.0,
1003,1313,313.15,HB-A_HB-A,0.225,0.467,,36274.0,
1003,1313,313.15,HB-A_HB-A,0.2599,0.515,,38289.0,
1003,1313,313.15,HB-A_HB-A,0.2994,0.5626,,40403.0,
1003,1313,313.15,HB-A_HB-A,0.4164,0.6818,,46708.0,
1003,1313,313.15,HB-A_HB-A,0.5035,0.751,,51244.0,
1003,1313,313.15,HB-A_HB-A,0.5752,0.8021,,54545.0,
1003,1313,313.15,HB-A_HB-A,0.66,0.8518,,58808.0,
1003,1313,313.15,HB-A_HB-A,0.7393,0.8903,,62972.0,
1003,1313,313.15,HB-A_HB-A,0.8108,0.9193,,66097.0,
1003,1313,313.15,HB-A_HB-A,0.8716,0.95,,69234.0,
1003,1313,313.15,HB-A_HB-A,0.9355,0.978,,72319.0,
1051,1312,303.15,HB-A_HB-A,0.049,0.054,,35730.0,
1051,1312,303.15,HB-A_HB-A,0.085,0.1,,36037.0,
1051,1312,303.15,HB-A_HB-A,0.271,0.297,,36890.0,
1051,1312,303.15,HB-A_HB-A,0.309,0.334,,37064.0,
1051,1312,303.15,HB-A_HB-A,0.485,0.503,,37330.0,
1051,1312,303.15,HB-A_HB-A,0.588,0.592,,37850.0,
1051,1312,303.15,HB-A_HB-A,0.628,0.634,,37824.0,
1051,1312,303.15,HB-A_HB-A,0.688,0.688,,37637.0,
1051,1312,303.15,HB-A_HB-A,0.799,0.775,,37717.0,
1051,1312,303.15,HB-A_HB-A,0.852,0.848,,37624.0,
1051,1312,303.15,HB-A_HB-A,0.882,0.885,,37624.0,
1051,1312,303.15,HB-A_HB-A,0.926,0.923,,37570.0,
1051,1312,303.15,HB-A_HB-A,0.946,0.946,,37490.0,
1051,1312,303.15,HB-A_HB-A,0.965,0.964,,37584.0,
1051,1312,308.15,HB-A_HB-A,0.126,0.143,,45690.0,
1051,1312,308.15,HB-A_HB-A,0.25,0.276,,46423.0,
1051,1312,308.15,HB-A_HB-A,0.375,0.401,,47009.0,
1051,1312,308.15,HB-A_HB-A,0.5,0.514,,47489.0,
1051,1312,308.15,HB-A_HB-A,0.58,0.58,,47596.0,
1051,1312,308.15,HB-A_HB-A,0.625,0.622,,47516.0,
1051,1312,308.15,HB-A_HB-A,0.75,0.743,,47463.0,
1051,1312,308.15,HB-A_HB-A,0.875,0.87,,47263.0,
1051,1312,328.15,HB-A_HB-A,0.126,0.139,,96619.0,
1051,1312,328.15,HB-A_HB-A,0.25,0.27,,97925.0,
1051,1312,328.15,HB-A_HB-A,0.375,0.394,,98725.0,
1051,1312,328.15,HB-A_HB-A,0.5,0.51,,99205.0,
1051,1312,328.15,HB-A_HB-A,0.556,0.556,,99298.0,
1051,1312,328.15,HB-A_HB-A,0.625,0.618,,99232.0,
1051,1312,328.15,HB-A_HB-A,0.75,0.74,,99085.0,
1051,1312,328.15,HB-A_HB-A,0.875,0.868,,98579.0,
1051,1321,308.15,HB-A_HB-A,0.066,0.147,,26681.0,
1051,1321,308.15,HB-A_HB-A,0.14,0.272,,28678.0,
1051,1321,308.15,HB-A_HB-A,0.148,0.284,,28836.0,
1051,1321,308.15,HB-A_HB-A,0.217,0.378,,30406.0,
1051,1321,308.15,HB-A_HB-A,0.288,0.46,,32380.0,
1051,1321,308.15,HB-A_HB-A,0.358,0.532,,34257.0,
1051,1321,308.15,HB-A_HB-A,0.511,0.66,,37501.0,
1051,1321,308.15,HB-A_HB-A,0.587,0.721,,39057.0,
1051,1321,308.15,HB-A_HB-A,0.745,0.828,,42039.0,
1051,1321,308.15,HB-A_HB-A,0.85,0.904,,43746.0,
1051,1321,308.15,HB-A_HB-A,0.902,0.936,,44524.0,
1051,1312,313.15,HB-A_HB-A,0.03,0.033,,53596.0,
1051,1312,313.15,HB-A_HB-A,0.042,0.048,,53902.0,
1051,1312,313.15,HB-A_HB-A,0.053,0.066,,53929.0,
1051,1312,313.15,HB-A_HB-A,0.07,0.082,,54262.0,
1051,1312,313.15,HB-A_HB-A,0.11,0.125,,54449.0,
1051,1312,313.15,HB-A_HB-A,0.218,0.233,,55262.0,
1051,1312,313.15,HB-A_HB-A,0.341,0.362,,55835.0,
1051,1312,313.15,HB-A_HB-A,0.521,0.53,,56222.0,
1051,1312,313.15,HB-A_HB-A,0.552,0.558,,56449.0,
1051,1312,313.15,HB-A_HB-A,0.594,0.593,,56489.0,
1051,1312,313.15,HB-A_HB-A,0.759,0.755,,56262.0,
1051,1312,313.15,HB-A_HB-A,0.825,0.822,,56435.0,
1051,1312,313.15,HB-A_HB-A,0.942,0.939,,55995.0,
1051,1312,313.15,HB-A_HB-A,0.959,0.955,,55995.0,
1051,1291,298.15,HB-A_HB-A,0.052,0.707,,2520.0,
1051,1291,298.15,HB-A_HB-A,0.138,0.844,,4906.0,
1051,1291,298.15,HB-A_HB-A,0.264,0.93,,8453.0,
1051,1291,298.15,HB-A_HB-A,0.3993,0.968,,12239.0,
