comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
1710,1706,313.15,NH_HB-A,0.109,0.218,,25998.0,
1710,1706,313.15,NH_HB-A,0.179,0.341,,28264.0,
1710,1706,313.15,NH_HB-A,0.275,0.48,,31597.0,
1710,1706,313.15,NH_HB-A,0.372,0.602,,34931.0,
1710,1706,313.15,NH_HB-A,0.475,0.695,,38397.0,
1710,1706,313.15,NH_HB-A,0.561,0.768,,41463.0,
1710,1706,313.15,NH_HB-A,0.601,0.792,,42663.0,
1710,1706,313.15,NH_HB-A,0.739,0.872,,47330.0,
1710,1706,313.15,NH_HB-A,0.855,0.934,,51329.0,
1710,1706,313.15,NH_HB-A,0.902,0.963,,52796.0,
1710,1860,308.15,NH_HB-A,0.156,0.341,,21581.0,
1710,1860,308.15,NH_HB-A,0.2915,0.53,,25809.0,
1710,1860,308.15,NH_HB-A,0.411,0.6625,,29730.0,
1710,1860,308.15,NH_HB-A,0.6065,0.806,,35672.0,
1710,1860,308.15,NH_HB-A,0.72,0.8765,,39130.0,
1710,1706,338.15,NH_HB-A,0.02,0.072,,49396.0,
1710,1706,338.15,NH_HB-A,0.05,0.1546,,52662.0,
1710,1706,338.15,NH_HB-A,0.1,0.2608,,57329.0,
1710,1706,338.15,NH_HB-A,0.2,0.4318,,66661.0,
1710,1706,338.15,NH_HB-A,0.3,0.5613,,75927.0,
1710,1706,338.15,NH_HB-A,0.4,0.663,,85060.0,
1710,1706,338.15,NH_HB-A,0.5,0.7456,,94126.0,
1710,1706,338.15,NH_HB-A,0.6,0.8135,,103258.0,
1710,1706,338.15,NH_HB-A,0.7,0.8709,,112324.0,
1710,1706,338.15,NH_HB-A,0.8,0.9193,,121190.0,
1710,1706,338.15,NH_HB-A,0.9,0.9606,,130123.0,
1710,1706,338.15,NH_HB-A,0.95,0.9803,,134256.0,
1710,1706,338.15,NH_HB-A,0.98,0.992,,136656.0,
1710,1706,343.15,NH_HB-A,0.02,0.0696,,58395.0,
1710,1706,343.15,NH_HB-A,0.05,0.1531,,62262.0,
1710,1706,343.15,NH_HB-A,0.1,0.2613,,67994.0,
1710,1706,343.15,NH_HB-A,0.2,0.4307,,78727.0,
1710,1706,343.15,NH_HB-A,0.3,0.5587,,89593.0,
1710,1706,343.15,NH_HB-A,0.4,0.6611,,100258.0,
1710,1706,343.15,NH_HB-A,0.5,0.7438,,110924.0,
1710,1706,343.15,NH_HB-A,0.6,0.8125,,121590.0,
1710,1706,343.15,NH_HB-A,0.7,0.8696,,132323.0,
1710,1706,343.15,NH_HB-A,0.8,0.9201,,142655.0,
1710,1706,343.15,NH_HB-A,0.9,0.9621,,153254.0,
1710,1706,343.15,NH_HB-A,0.95,0.9816,,158454.0,
1710,1706,343.15,NH_HB-A,0.98,0.9918,,161187.0,
1710,1706,328.15,NH_HB-A,0.02,0.0775,,33597.0,
1710,1706,328.15,NH_HB-A,0.05,0.1723,,36397.0,
1710,1706,328.15,NH_HB-A,0.1,0.2865,,40263.0,
1710,1706,328.15,NH_HB-A,0.2,0.4523,,46929.0,
1710,1706,328.15,NH_HB-A,0.3,0.5768,,53596.0,
1710,1706,328.15,NH_HB-A,0.4,0.6747,,60395.0,
1710,1706,328.15,NH_HB-A,0.5,0.7543,,67061.0,
1710,1706,328.15,NH_HB-A,0.6,0.8194,,73794.0,
1710,1706,328.15,NH_HB-A,0.7,0.8758,,80327.0,
1710,1706,328.15,NH_HB-A,0.8,0.9222,,86926.0,
1710,1706,328.15,NH_HB-A,0.9,0.9627,,93459.0,
1710,1706,328.15,NH_HB-A,0.95,0.9811,,96592.0,
1710,1706,328.15,NH_HB-A,0.98,0.9917,,98392.0,
1710,1772,308.15,NH_HB-A,0.0216,0.1482,,20678.0,
1710,1772,308.15,NH_HB-A,0.0233,0.155,,21265.0,
1710,1772,308.15,NH_HB-A,0.0724,0.3664,,26651.0,
1710,1772,308.15,NH_HB-A,0.081,0.3919,,27398.0,
1710,1772,308.15,NH_HB-A,0.2143,0.5765,,36850.0,
1710,1772,308.15,NH_HB-A,0.2167,0.5802,,37277.0,
1710,1772,308.15,NH_HB-A,0.461,0.7288,,44250.0,
1710,1772,308.15,NH_HB-A,0.4704,0.7197,,44263.0,
1710,1772,308.15,NH_HB-A,0.7421,0.8264,,47249.0,
1710,1772,308.15,NH_HB-A,0.7436,0.8301,,47116.0,
1710,1772,308.15,NH_HB-A,0.89,0.8879,,48076.0,
1710,1772,308.15,NH_HB-A,0.8921,0.8891,,47929.0,
1710,1772,308.15,NH_HB-A,0.9489,0.9304,,48049.0,
1710,1772,308.15,NH_HB-A,0.9499,0.9288,,48209.0,
1710,1706,333.15,NH_HB-A,0.02,0.0731,,40730.0,
1710,1706,333.15,NH_HB-A,0.05,0.1625,,43863.0,
1710,1706,333.15,NH_HB-A,0.1,0.2726,,48129.0,
1710,1706,333.15,NH_HB-A,0.2,0.4415,,55862.0,
1710,1706,333.15,NH_HB-A,0.3,0.5668,,63861.0,
1710,1706,333.15,NH_HB-A,0.4,0.6695,,71594.0,
1710,1706,333.15,NH_HB-A,0.5,0.7515,,79393.0,
1710,1706,333.15,NH_HB-A,0.6,0.8181,,87260.0,
1710,1706,333.15,NH_HB-A,0.7,0.8742,,95059.0,
1710,1706,333.15,NH_HB-A,0.8,0.9219,,102725.0,
