comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
1102,1766,313.15,NH_OH,0.0208,0.007,,17071.0,
1102,1766,313.15,NH_OH,0.0547,0.0192,,16640.0,
1102,1766,313.15,NH_OH,0.1219,0.0497,,15809.0,
1102,1766,313.15,NH_OH,0.2163,0.1058,,14640.0,
1102,1766,313.15,NH_OH,0.3195,0.1973,,13330.0,
1102,1766,313.15,NH_OH,0.4198,0.3384,,12270.0,
1102,1766,313.15,NH_OH,0.5096,0.4878,,11670.0,
1102,1766,313.15,NH_OH,0.5925,0.6278,,11670.0,
1102,1766,313.15,NH_OH,0.6238,0.6838,,11900.0,
1102,1766,313.15,NH_OH,0.6999,0.8039,,12650.0,
1102,1766,313.15,NH_OH,0.7689,0.8918,,13840.0,
1102,1766,313.15,NH_OH,0.8347,0.9489,,15180.0,
1102,1766,313.15,NH_OH,0.8915,0.9787,,16309.0,
1102,1766,313.15,NH_OH,0.9348,0.9872,,16800.0,
1102,1766,313.15,NH_OH,0.9456,0.9895,,17051.0,
1102,1713,333.15,NH_OH,0.05,0.0639,,21330.0,
1102,1713,333.15,NH_OH,0.0999,0.1325,,21730.0,
1102,1713,333.15,NH_OH,0.1466,0.198,,22150.0,
1102,1713,333.15,NH_OH,0.1998,0.2622,,22610.0,
1102,1713,333.15,NH_OH,0.2998,0.3956,,23741.0,
1102,1713,333.15,NH_OH,0.3997,0.5288,,25250.0,
1102,1713,333.15,NH_OH,0.4997,0.6554,,27270.0,
1102,1713,333.15,NH_OH,0.5998,0.7714,,30050.0,
1102,1713,333.15,NH_OH,0.6997,0.8661,,33680.0,
1102,1713,333.15,NH_OH,0.7997,0.9329,,37920.0,
1102,1713,333.15,NH_OH,0.8497,0.956,,40050.0,
1102,1713,333.15,NH_OH,0.8998,0.9751,,42301.0,
1102,1713,333.15,NH_OH,0.9499,0.9896,,44540.0,
1102,1766,333.35,NH_OH,0.026,0.0156,,39999.0,
1102,1766,333.35,NH_OH,0.0592,0.0285,,39099.0,
1102,1766,333.35,NH_OH,0.1261,0.0662,,37490.0,
1102,1766,333.35,NH_OH,0.2012,0.1263,,35810.0,
1102,1766,333.35,NH_OH,0.3045,0.222,,33931.0,
1102,1766,333.35,NH_OH,0.3933,0.3299,,32340.0,
1102,1766,333.35,NH_OH,0.4901,0.4804,,31180.0,
1102,1766,333.35,NH_OH,0.5648,0.6024,,31429.0,
1102,1766,333.35,NH_OH,0.6396,0.7229,,32760.0,
1102,1766,333.35,NH_OH,0.7194,0.8266,,35320.0,
1102,1766,333.35,NH_OH,0.7973,0.9078,,38470.0,
1102,1766,333.35,NH_OH,0.8784,0.965,,41990.0,
1102,1766,333.35,NH_OH,0.9356,0.9857,,44500.0,
1102,1766,333.35,NH_OH,0.9643,0.9927,,45900.0,
1102,1766,333.35,NH_OH,0.9877,0.9924,,46829.0,
1103,1713,333.15,NH_OH,0.0501,0.0283,,20640.0,
1103,1713,333.15,NH_OH,0.1001,0.0557,,20180.0,
1103,1713,333.15,NH_OH,0.1501,0.0869,,19660.0,
1103,1713,333.15,NH_OH,0.2001,0.1254,,19100.0,
1103,1713,333.15,NH_OH,0.3001,0.2134,,18120.0,
1103,1713,333.15,NH_OH,0.4001,0.3237,,17280.0,
1103,1713,333.15,NH_OH,0.5,0.4546,,16680.0,
1103,1713,333.15,NH_OH,0.6,0.6071,,16471.0,
1103,1713,333.15,NH_OH,0.6999,0.7493,,16800.0,
1103,1713,333.15,NH_OH,0.7999,0.871,,17711.0,
1103,1713,333.15,NH_OH,0.8499,0.9165,,18330.0,
1103,1713,333.15,NH_OH,0.8999,0.9525,,19020.0,
1103,1713,333.15,NH_OH,0.9499,0.9797,,19720.0,
1710,1921,322.25,NH_OH,0.05,0.665,,33997.0,
1710,1921,322.25,NH_OH,0.1,0.711,,38797.0,
1710,1921,322.25,NH_OH,0.2,0.755,,44396.0,
1710,1921,322.25,NH_OH,0.3,0.792,,49729.0,
1710,1921,322.25,NH_OH,0.4,0.826,,55129.0,
1710,1921,322.25,NH_OH,0.5,0.858,,60528.0,
1710,1921,322.25,NH_OH,0.6,0.887,,65795.0,
1710,1921,322.25,NH_OH,0.7,0.911,,70461.0,
1710,1921,322.25,NH_OH,0.8,0.935,,74394.0,
1710,1921,322.25,NH_OH,0.9,0.958,,77860.0,
1710,1921,322.25,NH_OH,0.95,0.974,,79514.0,
1710,1921,329.95,NH_OH,0.05,0.681,,51796.0,
1710,1921,329.95,NH_OH,0.1,0.72,,58395.0,
1710,1921,329.95,NH_OH,0.2,0.753,,64728.0,
1710,1921,329.95,NH_OH,0.3,0.784,,70968.0,
1710,1921,329.95,NH_OH,0.4,0.814,,77260.0,
1710,1921,329.95,NH_OH,0.5,0.843,,83527.0,
1710,1921,329.95,NH_OH,0.6,0.87,,89593.0,
1710,1921,329.95,NH_OH,0.7,0.894,,94526.0,
1710,1921,329.95,NH_OH,0.8,0.917,,98725.0,
1710,1921,329.95,NH_OH,0.9,0.946,,102525.0,
1710,1921,329.95,NH_OH,0.95,0.986,,104325.0,
1710,1921,311.5,NH_OH,0.05,0.653,,18705.0,
1710,1921,311.5,NH_OH,0.1,0.715,,22358.0,
1710,1921,311.5,NH_OH,0.2,0.766,,26291.0,
1710,1921,311.5,NH_OH,0.3,0.809,,30264.0,
1710,1921,311.5,NH_OH,0.4,0.846,,34277.0,
1710,1921,311.5,NH_OH,0.5,0.877,,38264.0,
1710,1921,311.5,NH_OH,0.6,0.905,,42250.0,
1710,1921,311.5,NH_OH,0.7,0.928,,45930.0,
1710,1921,311.5,NH_OH,0.8,0.947,,48956.0,
1710,1921,311.5,NH_OH,0.9,0.968,,51742.0,
1710,1921,311.5,NH_OH,0.95,0.98,,53049.0,
1712,1105,338.15,NH_OH,0.0612,0.0559,,25451.0,
1712,1105,338.15,NH_OH,0.1573,0.1775,,25838.0,
1712,1105,338.15,NH_OH,0.2431,0.3189,,26798.0,
1712,1105,338.15,NH_OH,0.3238,0.4734,,28864.0,
1712,1105,338.15,NH_OH,0.438,0.6654,,33571.0,
1712,1105,338.15,NH_OH,0.5586,0.8073,,39997.0,
1712,1105,338.15,NH_OH,0.6982,0.9108,,49436.0,
1712,1105,338.15,NH_OH,0.8871,0.9757,,60555.0,
1712,1103,338.15,NH_OH,0.0612,0.0559,,25451.0,
1712,1103,338.15,NH_OH,0.1573,0.1775,,25838.0,
1712,1103,338.15,NH_OH,0.2431,0.3189,,26798.0,
1712,1103,338.15,NH_OH,0.3238,0.4734,,28864.0,
1712,1103,338.15,NH_OH,0.438,0.6654,,33571.0,
1712,1103,338.15,NH_OH,0.5586,0.8073,,39997.0,
1712,1103,338.15,NH_OH,0.6982,0.9108,,49436.0,
1712,1103,338.15,NH_OH,0.8871,0.9757,,60555.0,
1712,1105,328.15,NH_OH,0.052,0.0523,,14985.0,
1712,1105,328.15,NH_OH,0.1407,0.1758,,15599.0,
1712,1105,328.15,NH_OH,0.2173,0.3104,,16265.0,
1712,1105,328.15,NH_OH,0.3169,0.4947,,18385.0,
1712,1105,328.15,NH_OH,0.4311,0.6755,,21265.0,
1712,1105,328.15,NH_OH,0.5127,0.7794,,24411.0,
1712,1105,328.15,NH_OH,0.6299,0.8826,,29464.0,
1712,1105,328.15,NH_OH,0.7849,0.9472,,35770.0,
1712,1105,328.15,NH_OH,0.9131,0.9829,,42423.0,
1712,1103,318.15,NH_OH,0.052,0.0481,,9066.0,
1712,1103,318.15,NH_OH,0.1442,0.1712,,9373.0,
1712,1103,318.15,NH_OH,0.2127,0.2858,,9626.0,
1712,1103,318.15,NH_OH,0.3135,0.4965,,10826.0,
1712,1103,318.15,NH_OH,0.4185,0.6816,,12892.0,
1712,1103,318.15,NH_OH,0.5082,0.8115,,15599.0,
1712,1103,318.15,NH_OH,0.5659,0.861,,17265.0,
1712,1103,318.15,NH_OH,0.6976,0.9331,,21665.0,
1712,1103,318.15,NH_OH,0.7924,0.963,,25118.0,
1712,1105,318.15,NH_OH,0.052,0.0481,,9066.0,
1712,1105,318.15,NH_OH,0.1442,0.1712,,9373.0,
1712,1105,318.15,NH_OH,0.2127,0.2858,,9626.0,
1712,1105,318.15,NH_OH,0.3135,0.4965,,10826.0,
1712,1105,318.15,NH_OH,0.4185,0.6816,,12892.0,
1712,1105,318.15,NH_OH,0.5082,0.8115,,15599.0,
1712,1105,318.15,NH_OH,0.5659,0.861,,17265.0,
1712,1105,318.15,NH_OH,0.6976,0.9331,,21665.0,
1712,1105,318.15,NH_OH,0.7924,0.963,,25118.0,
1712,1103,328.15,NH_OH,0.052,0.0523,,14985.0,
1712,1103,328.15,NH_OH,0.1407,0.1758,,15599.0,
1712,1103,328.15,NH_OH,0.2173,0.3104,,16265.0,
1712,1103,328.15,NH_OH,0.3169,0.4947,,18385.0,
1712,1103,328.15,NH_OH,0.4311,0.6755,,21265.0,
1712,1103,328.15,NH_OH,0.5127,0.7794,,24411.0,
1712,1103,328.15,NH_OH,0.6299,0.8826,,29464.0,
1712,1103,328.15,NH_OH,0.7849,0.9472,,35770.0,
1712,1103,328.15,NH_OH,0.9131,0.9829,,42423.0,
1712,1105,313.15,NH_OH,0.041,0.185,,2933.0,
1712,1105,313.15,NH_OH,0.122,0.47,,4133.0,
1712,1105,313.15,NH_OH,0.196,0.631,,5333.0,
1712,1105,313.15,NH_OH,0.324,0.795,,7999.0,
1712,1105,313.15,NH_OH,0.452,0.89,,10799.0,
1712,1105,313.15,NH_OH,0.573,0.912,,14066.0,
1712,1105,313.15,NH_OH,0.695,0.967,,17332.0,
1712,1105,313.15,NH_OH,0.835,0.986,,21132.0,
1729,1151,403.15,NH_OH,0.092,0.15,,39970.0,
1729,1151,403.15,NH_OH,0.164,0.281,,41610.0,
1729,1151,403.15,NH_OH,0.275,0.461,,46370.0,
1729,1151,403.15,NH_OH,0.374,0.588,,51156.0,
1729,1151,403.15,NH_OH,0.456,0.68,,55635.0,
1729,1151,403.15,NH_OH,0.525,0.751,,59742.0,
1729,1151,403.15,NH_OH,0.627,0.839,,66168.0,
1729,1151,403.15,NH_OH,0.68,0.871,,69634.0,
1729,1151,403.15,NH_OH,0.796,0.934,,77607.0,
1729,1151,403.15,NH_OH,0.875,0.965,,82753.0,
1729,1151,383.15,NH_OH,0.092,0.188,,18532.0,
1729,1151,383.15,NH_OH,0.164,0.28,,19372.0,
1729,1151,383.15,NH_OH,0.275,0.477,,22265.0,
1729,1151,383.15,NH_OH,0.374,0.612,,25238.0,
1729,1151,383.15,NH_OH,0.456,0.719,,28264.0,
1729,1151,383.15,NH_OH,0.525,0.763,,30824.0,
1729,1151,383.15,NH_OH,0.627,0.859,,34757.0,
1729,1151,383.15,NH_OH,0.68,0.88,,36877.0,
1729,1151,383.15,NH_OH,0.796,0.931,,41503.0,
1729,1151,383.15,NH_OH,0.875,0.97,,44996.0,
1792,1183,407.85,NH_OH,0.028,0.038,,11800.0,
1792,1183,407.85,NH_OH,0.052,0.069,,11900.0,
1792,1183,407.85,NH_OH,0.193,0.269,,12200.0,
1792,1183,407.85,NH_OH,0.293,0.41,,13100.0,
1792,1183,407.85,NH_OH,0.31,0.431,,13400.0,
1792,1183,407.85,NH_OH,0.392,0.539,,14500.0,
1792,1183,407.85,NH_OH,0.4,0.546,,14900.0,
1792,1183,407.85,NH_OH,0.47,0.632,,16000.0,
1792,1183,407.85,NH_OH,0.503,0.666,,16200.0,
1792,1183,407.85,NH_OH,0.587,0.787,,17200.0,
1792,1183,407.85,NH_OH,0.706,0.847,,18800.0,
1792,1183,407.85,NH_OH,0.79,0.901,,20500.0,
1792,1183,407.85,NH_OH,0.888,0.953,,21600.0,
1792,1183,453.15,NH_OH,0.07,0.094,,56899.0,
1792,1183,453.15,NH_OH,0.141,0.186,,58401.0,
1792,1183,453.15,NH_OH,0.199,0.264,,59600.0,
1792,1183,453.15,NH_OH,0.271,0.356,,61700.0,
1792,1183,453.15,NH_OH,0.357,0.463,,64800.0,
1792,1183,453.15,NH_OH,0.446,0.569,,67800.0,
1792,1183,453.15,NH_OH,0.482,0.609,,69800.0,
1792,1183,453.15,NH_OH,0.522,0.65,,71199.0,
1792,1183,453.15,NH_OH,0.547,0.677,,72001.0,
1792,1183,453.15,NH_OH,0.562,0.689,,72801.0,
1792,1183,453.15,NH_OH,0.612,0.734,,75100.0,
1792,1183,453.15,NH_OH,0.667,0.782,,77400.0,
1792,1183,453.15,NH_OH,0.735,0.836,,80800.0,
1792,1183,453.15,NH_OH,0.795,0.881,,83600.0,
1792,1183,453.15,NH_OH,0.834,0.908,,85600.0,
1792,1183,453.15,NH_OH,0.877,0.935,,87199.0,
1792,1183,453.15,NH_OH,0.93,0.97,,89701.0,
1792,1183,422.85,NH_OH,0.029,0.038,,20900.0,
1792,1183,422.85,NH_OH,0.052,0.069,,21000.0,
1792,1183,422.85,NH_OH,0.107,0.145,,21100.0,
1792,1183,422.85,NH_OH,0.195,0.266,,21900.0,
1792,1183,422.85,NH_OH,0.294,0.403,,23099.0,
1792,1183,422.85,NH_OH,0.308,0.419,,23601.0,
1792,1183,422.85,NH_OH,0.393,0.53,,25201.0,
1792,1183,422.85,NH_OH,0.401,0.538,,25401.0,
1792,1183,422.85,NH_OH,0.471,0.62,,27300.0,
1792,1183,422.85,NH_OH,0.504,0.656,,27600.0,
1792,1183,422.85,NH_OH,0.589,0.736,,29100.0,
1792,1183,422.85,NH_OH,0.71,0.837,,31600.0,
1792,1183,422.85,NH_OH,0.791,0.891,,34000.0,
1792,1183,422.85,NH_OH,0.88,0.943,,35500.0,
1792,1183,422.85,NH_OH,0.885,0.947,,35800.0,
1792,1183,437.85,NH_OH,0.029,0.037,,35000.0,
1792,1183,437.85,NH_OH,0.052,0.066,,35000.0,
1792,1183,437.85,NH_OH,0.107,0.143,,35500.0,
1792,1183,437.85,NH_OH,0.195,0.26,,36900.0,
1792,1183,437.85,NH_OH,0.293,0.392,,38799.0,
1792,1183,437.85,NH_OH,0.31,0.415,,39199.0,
1792,1183,437.85,NH_OH,0.391,0.515,,41401.0,
1792,1183,437.85,NH_OH,0.403,0.529,,41801.0,
1792,1183,437.85,NH_OH,0.471,0.608,,44200.0,
1792,1183,437.85,NH_OH,0.504,0.641,,44700.0,
1792,1183,437.85,NH_OH,0.596,0.73,,47300.0,
1792,1183,437.85,NH_OH,0.711,0.826,,50900.0,
1792,1183,437.85,NH_OH,0.794,0.884,,54000.0,
1792,1183,437.85,NH_OH,0.883,0.94,,56399.0,
1792,1183,437.85,NH_OH,0.887,0.943,,56799.0,
1911,1921,373.15,NH_OH,0.0647,0.514,,191000.0,
1911,1921,373.15,NH_OH,0.0658,0.519,,201001.0,
1911,1921,373.15,NH_OH,0.0917,0.617,,249001.0,
1911,1921,373.15,NH_OH,0.1033,0.667,,257000.0,
1911,1921,373.15,NH_OH,0.1166,0.69,,296000.0,
1911,1921,373.15,NH_OH,0.1475,0.756,,375000.0,
1911,1921,373.15,NH_OH,0.185,0.82,,460001.0,
1911,1921,373.15,NH_OH,0.2479,0.884,,672001.0,
1911,1921,394.25,NH_OH,0.0439,0.37274,,310260.0,
1911,1921,394.25,NH_OH,0.0849,0.56513,,434380.0,
1911,1921,410.15,NH_OH,0.065,0.42,,577581.0,
1911,1921,410.15,NH_OH,0.065,0.42,,577581.0,
1911,1921,393.15,NH_OH,0.0486,0.347,,323000.0,
1911,1921,393.15,NH_OH,0.1273,0.663,,552000.0,
1911,1921,393.15,NH_OH,0.1797,0.765,,760000.0,
1911,1921,393.15,NH_OH,0.1827,0.776,,776000.0,
1911,1921,333.15,NH_OH,0.197,0.928,,160000.0,
1911,1921,333.15,NH_OH,0.318,0.975,,340000.0,
1911,1921,333.15,NH_OH,0.44,0.991,,650000.0,
1911,1921,370.15,NH_OH,0.093,0.633,,243180.0,
1911,1921,370.15,NH_OH,0.16,0.783,,385010.0,
1911,1921,370.15,NH_OH,0.16,0.76,,385010.0,
1911,1921,370.15,NH_OH,0.255,0.8976,,684931.0,
1911,1921,370.15,NH_OH,0.255,0.8958,,684931.0,
1911,1921,370.15,NH_OH,0.259,0.896,,713340.0,
1911,1921,370.15,NH_OH,0.093,0.683,,243180.0,
1911,1921,370.15,NH_OH,0.16,0.783,,385010.0,
1911,1921,370.15,NH_OH,0.16,0.76,,385010.0,
