comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
3,1252,323.15,Non-HB_COOH,0.1707,0.5765,,18025.0,
3,1252,323.15,Non-HB_COOH,0.2653,0.721,,24878.0,
3,1252,323.15,Non-HB_COOH,0.4155,0.8642,,36944.0,
3,1252,323.15,Non-HB_COOH,0.5309,0.928,,46396.0,
3,1252,323.15,Non-HB_COOH,0.5629,0.9389,,49423.0,
3,1252,323.15,Non-HB_COOH,0.7003,0.9739,,60782.0,
3,1252,323.15,Non-HB_COOH,0.8439,0.9918,,71114.0,
11,1252,313.2,Non-HB_COOH,0.014,0.426,,10501.0,
11,1252,313.2,Non-HB_COOH,0.033,0.618,,17900.0,
11,1252,313.2,Non-HB_COOH,0.07,0.724,,25801.0,
11,1252,313.2,Non-HB_COOH,0.263,0.8,,34000.0,
11,1252,313.2,Non-HB_COOH,0.463,0.815,,36400.0,
11,1252,313.2,Non-HB_COOH,0.675,0.841,,37600.0,
11,1252,313.2,Non-HB_COOH,0.896,0.913,,38100.0,
11,1252,313.2,Non-HB_COOH,0.948,0.947,,37900.0,
11,1252,313.2,Non-HB_COOH,0.978,0.975,,37300.0,
17,1252,313.15,Non-HB_COOH,0.0257,0.355,,9013.0,
17,1252,313.15,Non-HB_COOH,0.1058,0.541,,12972.0,
17,1252,313.15,Non-HB_COOH,0.1699,0.562,,13612.0,
17,1252,313.15,Non-HB_COOH,0.2101,0.571,,13866.0,
17,1252,313.15,Non-HB_COOH,0.2919,0.579,,14106.0,
17,1252,313.15,Non-HB_COOH,0.3746,0.579,,14266.0,
17,1252,313.15,Non-HB_COOH,0.4728,0.595,,14359.0,
17,1252,313.15,Non-HB_COOH,0.5014,0.597,,14412.0,
17,1252,313.15,Non-HB_COOH,0.5951,0.611,,14492.0,
17,1252,313.15,Non-HB_COOH,0.6368,0.618,,14492.0,
17,1252,313.15,Non-HB_COOH,0.6959,0.644,,14439.0,
17,1252,313.15,Non-HB_COOH,0.7518,0.658,,14359.0,
17,1252,313.15,Non-HB_COOH,0.85,0.729,,14012.0,
17,1252,313.15,Non-HB_COOH,0.9827,0.939,,12639.0,
17,1252,293.15,Non-HB_COOH,0.037,0.476,,3826.0,
17,1252,293.15,Non-HB_COOH,0.0779,0.577,,4773.0,
17,1252,293.15,Non-HB_COOH,0.1347,0.607,,5266.0,
17,1252,293.15,Non-HB_COOH,0.2836,0.616,,5440.0,
17,1252,293.15,Non-HB_COOH,0.3828,0.618,,5453.0,
17,1252,293.15,Non-HB_COOH,0.4,0.62,,5453.0,
17,1252,293.15,Non-HB_COOH,0.5406,0.633,,5506.0,
17,1252,293.15,Non-HB_COOH,0.6199,0.647,,5493.0,
17,1252,293.15,Non-HB_COOH,0.6457,0.653,,5493.0,
17,1252,293.15,Non-HB_COOH,0.7779,0.703,,5426.0,
17,1252,293.15,Non-HB_COOH,0.832,0.738,,5373.0,
17,1252,293.15,Non-HB_COOH,0.9138,0.818,,5120.0,
17,1252,303.15,Non-HB_COOH,0.075,0.542,,8013.0,
17,1252,303.15,Non-HB_COOH,0.1324,0.577,,8613.0,
17,1252,303.15,Non-HB_COOH,0.1985,0.59,,8813.0,
17,1252,303.15,Non-HB_COOH,0.3,0.597,,8946.0,
17,1252,303.15,Non-HB_COOH,0.365,0.607,,9013.0,
17,1252,303.15,Non-HB_COOH,0.4,0.608,,9053.0,
17,1252,303.15,Non-HB_COOH,0.45,0.608,,9079.0,
17,1252,303.15,Non-HB_COOH,0.5511,0.622,,9133.0,
17,1252,303.15,Non-HB_COOH,0.6184,0.634,,9146.0,
17,1252,303.15,Non-HB_COOH,0.6295,0.636,,9146.0,
17,1252,303.15,Non-HB_COOH,0.6754,0.647,,9146.0,
17,1252,303.15,Non-HB_COOH,0.7579,0.679,,9093.0,
17,1252,303.15,Non-HB_COOH,0.7797,0.692,,9039.0,
17,1252,303.15,Non-HB_COOH,0.849,0.739,,8813.0,
17,1252,303.15,Non-HB_COOH,0.9,0.792,,8586.0,
137,1252,313.2,Non-HB_COOH,0.015,0.346,,8601.0,
137,1252,313.2,Non-HB_COOH,0.04,0.537,,13500.0,
137,1252,313.2,Non-HB_COOH,0.083,0.656,,18800.0,
137,1252,313.2,Non-HB_COOH,0.281,0.748,,24801.0,
137,1252,313.2,Non-HB_COOH,0.488,0.764,,25801.0,
