comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
5,1051,273.15,Non-HB_HB-A,0.094,0.85,,50571.0,
5,1051,273.15,Non-HB_HB-A,0.2,0.902,,73001.0,
5,1051,273.15,Non-HB_HB-A,0.381,0.934,,87999.0,
5,1051,273.15,Non-HB_HB-A,0.49,0.929,,91700.0,
5,1051,273.15,Non-HB_HB-A,0.665,0.936,,96300.0,
5,1051,273.15,Non-HB_HB-A,0.81,0.944,,99400.0,
5,1051,273.15,Non-HB_HB-A,0.841,0.947,,100100.0,
5,1051,273.15,Non-HB_HB-A,0.868,0.949,,100400.0,
5,1051,313.15,Non-HB_HB-A,0.094,0.688,,162900.0,
5,1051,313.15,Non-HB_HB-A,0.2,0.796,,239100.0,
5,1051,313.15,Non-HB_HB-A,0.381,0.85,,304500.0,
5,1051,313.15,Non-HB_HB-A,0.49,0.867,,327000.0,
5,1051,313.15,Non-HB_HB-A,0.665,0.886,,349701.0,
5,1051,313.15,Non-HB_HB-A,0.81,0.906,,364901.0,
5,1051,313.15,Non-HB_HB-A,0.841,0.911,,367001.0,
5,1051,313.15,Non-HB_HB-A,0.868,0.918,,370000.0,
5,1051,293.15,Non-HB_HB-A,0.094,0.772,,93000.0,
5,1051,293.15,Non-HB_HB-A,0.2,0.857,,140801.0,
5,1051,293.15,Non-HB_HB-A,0.381,0.89,,172801.0,
5,1051,293.15,Non-HB_HB-A,0.49,0.9,,182100.0,
5,1051,293.15,Non-HB_HB-A,0.665,0.913,,193500.0,
5,1051,293.15,Non-HB_HB-A,0.81,0.926,,200500.0,
5,1051,293.15,Non-HB_HB-A,0.841,0.93,,202001.0,
5,1051,293.15,Non-HB_HB-A,0.868,0.935,,203301.0,
7,1051,372.7,Non-HB_HB-A,0.084,0.265,,478101.0,
7,1051,372.7,Non-HB_HB-A,0.18,0.374,,551600.0,
7,1051,372.7,Non-HB_HB-A,0.315,0.51,,613300.0,
7,1051,372.7,Non-HB_HB-A,0.422,0.546,,642201.0,
7,1051,372.7,Non-HB_HB-A,0.532,0.616,,660900.0,
7,1051,372.7,Non-HB_HB-A,0.649,0.671,,672201.0,
7,1051,372.7,Non-HB_HB-A,0.785,0.753,,668100.0,
7,1051,372.7,Non-HB_HB-A,0.916,0.869,,637801.0,
7,1312,298.15,Non-HB_HB-A,0.0251,0.1992,,35970.0,
7,1312,298.15,Non-HB_HB-A,0.0717,0.4043,,45863.0,
7,1312,298.15,Non-HB_HB-A,0.1455,0.529,,55462.0,
7,1312,298.15,Non-HB_HB-A,0.2258,0.5962,,61568.0,
7,1312,298.15,Non-HB_HB-A,0.29,0.6327,,65035.0,
7,1312,298.15,Non-HB_HB-A,0.374,0.6626,,67754.0,
7,1312,298.15,Non-HB_HB-A,0.5053,0.697,,70488.0,
