comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
3,1911,273.15,Non-HB_NH,0.002,0.11,,489000.0,
3,1911,273.15,Non-HB_NH,0.003,0.159,,519000.0,
3,1911,273.15,Non-HB_NH,0.004,0.205,,550000.0,
3,1911,273.15,Non-HB_NH,0.006,0.28,,618000.0,
3,1911,273.15,Non-HB_NH,0.007,0.309,,647000.0,
3,1911,273.15,Non-HB_NH,0.012,0.39,,741001.0,
3,1911,273.15,Non-HB_NH,0.019,0.443,,813000.0,
3,1911,273.15,Non-HB_NH,0.897,0.584,,817001.0,
3,1911,273.15,Non-HB_NH,0.917,0.625,,772001.0,
3,1911,273.15,Non-HB_NH,0.926,0.65,,747000.0,
3,1911,273.15,Non-HB_NH,0.937,0.67,,720001.0,
3,1911,273.15,Non-HB_NH,0.953,0.73,,662000.0,
3,1911,273.15,Non-HB_NH,0.963,0.769,,619000.0,
3,1911,273.15,Non-HB_NH,0.975,0.828,,575001.0,
11,1712,333.15,Non-HB_NH,0.104,0.216,,64461.0,
11,1712,333.15,Non-HB_NH,0.194,0.336,,69861.0,
11,1712,333.15,Non-HB_NH,0.358,0.48,,76354.0,
11,1712,333.15,Non-HB_NH,0.535,0.601,,80660.0,
11,1712,333.15,Non-HB_NH,0.652,0.689,,82287.0,
11,1712,333.15,Non-HB_NH,0.782,0.774,,82087.0,
11,1712,333.15,Non-HB_NH,0.872,0.851,,80233.0,
11,1707,333.15,Non-HB_NH,0.082,0.29,,24051.0,
11,1707,333.15,Non-HB_NH,0.153,0.448,,28771.0,
11,1707,333.15,Non-HB_NH,0.298,0.647,,37877.0,
11,1707,333.15,Non-HB_NH,0.472,0.784,,47876.0,
11,1707,333.15,Non-HB_NH,0.621,0.862,,55969.0,
11,1707,333.15,Non-HB_NH,0.778,0.927,,64395.0,
11,1707,333.15,Non-HB_NH,0.886,0.964,,70141.0,
17,1792,324.65,Non-HB_NH,0.8768,0.9771,,18878.0,
17,1792,324.65,Non-HB_NH,0.9022,0.9798,,19025.0,
17,1792,324.65,Non-HB_NH,0.9225,0.9824,,19198.0,
17,1792,324.65,Non-HB_NH,0.9378,0.9845,,19358.0,
17,1792,324.65,Non-HB_NH,0.9538,0.9875,,19665.0,
17,1792,324.65,Non-HB_NH,0.9696,0.991,,19678.0,
17,1792,324.65,Non-HB_NH,0.9743,0.9922,,19772.0,
17,1792,324.65,Non-HB_NH,0.9768,0.9926,,19772.0,
17,1792,324.65,Non-HB_NH,0.9769,0.9929,,19772.0,
17,1792,324.65,Non-HB_NH,0.9776,0.9927,,19798.0,
17,1792,324.65,Non-HB_NH,0.9798,0.9937,,19812.0,
17,1792,324.65,Non-HB_NH,0.9821,0.9944,,19852.0,
17,1792,324.65,Non-HB_NH,0.9836,0.9948,,19878.0,
17,1792,324.65,Non-HB_NH,0.9891,0.9965,,19958.0,
17,1792,324.65,Non-HB_NH,0.9914,0.9971,,19958.0,
17,1792,324.65,Non-HB_NH,0.9937,0.9979,,20025.0,
17,1792,324.65,Non-HB_NH,0.9941,0.998,,20025.0,
17,1792,324.65,Non-HB_NH,0.9966,0.9988,,20052.0,
17,1792,324.65,Non-HB_NH,0.9969,0.9989,,20052.0,
17,1792,324.65,Non-HB_NH,0.997,0.999,,20092.0,
137,1792,308.35,Non-HB_NH,0.117,0.988,,14106.0,
137,1792,308.35,Non-HB_NH,0.147,0.99,,15479.0,
137,1792,308.35,Non-HB_NH,0.227,0.991,,17505.0,
137,1792,308.35,Non-HB_NH,0.292,0.992,,18158.0,
137,1792,308.35,Non-HB_NH,0.362,0.992,,18438.0,
137,1792,308.35,Non-HB_NH,0.394,0.992,,18532.0,
137,1792,308.35,Non-HB_NH,0.47,0.992,,18585.0,
137,1792,308.35,Non-HB_NH,0.546,0.992,,18625.0,
137,1792,308.35,Non-HB_NH,0.646,0.992,,18638.0,
137,1792,308.35,Non-HB_NH,0.696,0.992,,18665.0,
137,1792,308.35,Non-HB_NH,0.733,0.992,,18718.0,
137,1792,308.35,Non-HB_NH,0.834,0.992,,18852.0,
137,1792,308.35,Non-HB_NH,0.889,0.993,,19052.0,
137,1792,308.35,Non-HB_NH,0.937,0.995,,19358.0,
137,1766,313.15,Non-HB_NH,0.0037,0.0151,,17300.0,
137,1766,313.15,Non-HB_NH,0.0137,0.0476,,17900.0,
137,1766,313.15,Non-HB_NH,0.0426,0.1143,,18900.0,
137,1766,313.15,Non-HB_NH,0.1023,0.2323,,20470.0,
137,1766,313.15,Non-HB_NH,0.1713,0.3271,,22040.0,
137,1766,313.15,Non-HB_NH,0.2502,0.4176,,23499.0,
137,1766,313.15,Non-HB_NH,0.4041,0.5152,,24919.0,
137,1766,313.15,Non-HB_NH,0.5209,0.5913,,25601.0,
137,1766,313.15,Non-HB_NH,0.6361,0.6601,,25921.0,
137,1766,313.15,Non-HB_NH,0.7213,0.7201,,26001.0,
137,1766,313.15,Non-HB_NH,0.8146,0.7933,,25821.0,
137,1766,313.15,Non-HB_NH,0.9019,0.8687,,25381.0,
137,1766,313.15,Non-HB_NH,0.9736,0.9597,,24865.0,
137,1766,333.15,Non-HB_NH,0.0064,0.0138,,40281.0,
137,1766,333.15,Non-HB_NH,0.0176,0.0553,,41250.0,
137,1766,333.15,Non-HB_NH,0.0484,0.1221,,42230.0,
137,1766,333.15,Non-HB_NH,0.1103,0.2199,,46040.0,
137,1766,333.15,Non-HB_NH,0.1223,0.2355,,46980.0,
137,1766,333.15,Non-HB_NH,0.197,0.319,,49211.0,
137,1766,333.15,Non-HB_NH,0.2473,0.3757,,51070.0,
137,1766,333.15,Non-HB_NH,0.2745,0.3907,,51360.0,
137,1766,333.15,Non-HB_NH,0.2987,0.4144,,51790.0,
137,1766,333.15,Non-HB_NH,0.3542,0.452,,52800.0,
137,1766,333.15,Non-HB_NH,0.4291,0.5109,,53970.0,
137,1766,333.15,Non-HB_NH,0.5767,0.6016,,54790.0,
137,1766,333.15,Non-HB_NH,0.5776,0.6054,,54879.0,
137,1766,333.15,Non-HB_NH,0.7019,0.6946,,55170.0,
137,1766,333.15,Non-HB_NH,0.7996,0.7782,,54870.0,
137,1766,333.15,Non-HB_NH,0.8923,0.8596,,53980.0,
137,1766,333.15,Non-HB_NH,0.9575,0.937,,53000.0,
137,1766,333.15,Non-HB_NH,0.9891,0.9781,,52270.0,
137,1792,392.45,Non-HB_NH,0.176,0.929,,157320.0,
137,1792,392.45,Non-HB_NH,0.21,0.928,,165986.0,
137,1792,392.45,Non-HB_NH,0.281,0.94,,185851.0,
137,1792,392.45,Non-HB_NH,0.46,0.953,,216515.0,
137,1792,392.45,Non-HB_NH,0.508,0.955,,220382.0,
137,1792,392.45,Non-HB_NH,0.518,0.954,,220915.0,
137,1792,392.45,Non-HB_NH,0.582,0.959,,226781.0,
137,1792,392.45,Non-HB_NH,0.643,0.959,,236647.0,
137,1792,392.45,Non-HB_NH,0.807,0.97,,248113.0,
137,1792,392.45,Non-HB_NH,0.827,0.971,,255446.0,
137,1792,313.15,Non-HB_NH,0.7285,0.9911,,22665.0,
137,1792,313.15,Non-HB_NH,0.7635,0.9912,,22705.0,
137,1792,313.15,Non-HB_NH,0.8048,0.9913,,22812.0,
137,1792,313.15,Non-HB_NH,0.8403,0.9916,,22932.0,
137,1792,313.15,Non-HB_NH,0.8588,0.9918,,22985.0,
137,1792,313.15,Non-HB_NH,0.8866,0.9922,,23145.0,
137,1792,313.15,Non-HB_NH,0.9019,0.9926,,23305.0,
137,1792,313.15,Non-HB_NH,0.9174,0.9932,,23425.0,
137,1792,313.15,Non-HB_NH,0.9325,0.9938,,23571.0,
137,1792,313.15,Non-HB_NH,0.9343,0.9939,,23598.0,
137,1792,313.15,Non-HB_NH,0.9464,0.9945,,23731.0,
137,1792,313.15,Non-HB_NH,0.957,0.9951,,23851.0,
137,1792,313.15,Non-HB_NH,0.9581,0.9954,,23891.0,
137,1792,313.15,Non-HB_NH,0.9676,0.996,,24011.0,
137,1792,313.15,Non-HB_NH,0.9678,0.9961,,24051.0,
137,1792,313.15,Non-HB_NH,0.9682,0.9961,,24025.0,
137,1792,313.15,Non-HB_NH,0.9695,0.9962,,24065.0,
137,1792,313.15,Non-HB_NH,0.9762,0.9969,,24158.0,
137,1792,313.15,Non-HB_NH,0.9768,0.9969,,24145.0,
137,1792,313.15,Non-HB_NH,0.9787,0.9971,,24198.0,
137,1792,313.15,Non-HB_NH,0.9844,0.9978,,24291.0,
137,1792,313.15,Non-HB_NH,0.985,0.9978,,24305.0,
137,1792,313.15,Non-HB_NH,0.9857,0.9979,,24265.0,
137,1792,313.15,Non-HB_NH,0.9889,0.9984,,24398.0,
137,1792,313.15,Non-HB_NH,0.9896,0.9984,,24385.0,
137,1792,313.15,Non-HB_NH,0.9918,0.9988,,24425.0,
137,1792,313.15,Non-HB_NH,0.9928,0.9989,,24451.0,
137,1792,313.15,Non-HB_NH,0.996,0.9994,,24531.0,
137,1792,313.15,Non-HB_NH,0.998,0.9997,,24531.0,
137,1792,313.15,Non-HB_NH,0.999,0.9998,,24571.0,
137,1792,363.15,Non-HB_NH,0.112,0.9401,,59666.0,
137,1792,363.15,Non-HB_NH,0.1577,0.9531,,73369.0,
137,1792,323.35,Non-HB_NH,0.064,0.972,,15892.0,
137,1792,323.35,Non-HB_NH,0.109,0.979,,21772.0,
137,1792,323.35,Non-HB_NH,0.168,0.984,,26664.0,
137,1792,323.35,Non-HB_NH,0.226,0.987,,29211.0,
137,1792,323.35,Non-HB_NH,0.284,0.988,,30611.0,
137,1792,323.35,Non-HB_NH,0.36,0.988,,31651.0,
137,1792,323.35,Non-HB_NH,0.394,0.988,,32171.0,
137,1792,323.35,Non-HB_NH,0.486,0.989,,32464.0,
137,1792,323.35,Non-HB_NH,0.562,0.989,,32664.0,
137,1792,323.35,Non-HB_NH,0.582,0.989,,32757.0,
137,1792,323.35,Non-HB_NH,0.608,0.989,,32824.0,
137,1792,323.35,Non-HB_NH,0.713,0.989,,33171.0,
137,1792,323.35,Non-HB_NH,0.794,0.989,,33491.0,
137,1792,323.35,Non-HB_NH,0.874,0.991,,34064.0,
137,1792,323.35,Non-HB_NH,0.939,0.993,,34957.0,
137,1792,343.15,Non-HB_NH,0.137,0.9701,,42102.0,
137,1792,343.15,Non-HB_NH,0.1615,0.973,,45812.0,
137,1792,343.15,Non-HB_NH,0.2121,0.9767,,51376.0,
137,1792,343.15,Non-HB_NH,0.2647,0.9784,,55102.0,
137,1792,343.15,Non-HB_NH,0.3686,0.98,,58643.0,
137,1792,343.15,Non-HB_NH,0.428,0.9808,,60286.0,
137,1792,343.15,Non-HB_NH,0.49,0.9814,,61506.0,
137,1792,343.15,Non-HB_NH,0.5722,0.982,,62533.0,
137,1792,343.15,Non-HB_NH,0.6765,0.9831,,63833.0,
137,1792,343.15,Non-HB_NH,0.789,0.9846,,65249.0,
137,1792,343.15,Non-HB_NH,0.887,0.9873,,67317.0,
137,1792,343.15,Non-HB_NH,0.909,0.9884,,68136.0,
137,1729,313.15,Non-HB_NH,0.161,0.68,,8426.0,
137,1729,313.15,Non-HB_NH,0.203,0.729,,9519.0,
137,1729,313.15,Non-HB_NH,0.261,0.779,,10906.0,
137,1729,313.15,Non-HB_NH,0.327,0.818,,12372.0,
137,1729,313.15,Non-HB_NH,0.346,0.829,,12746.0,
137,1729,313.15,Non-HB_NH,0.386,0.847,,13559.0,
137,1729,313.15,Non-HB_NH,0.424,0.862,,14412.0,
137,1729,313.15,Non-HB_NH,0.463,0.875,,15052.0,
137,1729,313.15,Non-HB_NH,0.518,0.893,,16212.0,
137,1729,313.15,Non-HB_NH,0.581,0.91,,17332.0,
137,1729,313.15,Non-HB_NH,0.628,0.921,,18132.0,
137,1729,313.15,Non-HB_NH,0.668,0.93,,18799.0,
137,1729,313.15,Non-HB_NH,0.707,0.939,,19478.0,
137,1729,313.15,Non-HB_NH,0.803,0.959,,21198.0,
137,1729,313.15,Non-HB_NH,0.858,0.97,,22118.0,
137,1729,313.15,Non-HB_NH,0.896,0.978,,22665.0,
137,1729,313.15,Non-HB_NH,0.934,0.9861,,23531.0,
137,1729,313.15,Non-HB_NH,0.976,0.9951,,24291.0,
137,1729,298.15,Non-HB_NH,0.246,0.805,,5466.0,
137,1729,298.15,Non-HB_NH,0.331,0.853,,6533.0,
137,1729,298.15,Non-HB_NH,0.408,0.882,,7386.0,
137,1729,298.15,Non-HB_NH,0.52,0.911,,8493.0,
137,1729,298.15,Non-HB_NH,0.62,0.932,,9439.0,
137,1729,298.15,Non-HB_NH,0.695,0.945,,10053.0,
137,1729,298.15,Non-HB_NH,0.759,0.956,,10639.0,
137,1729,298.15,Non-HB_NH,0.828,0.968,,11226.0,
137,1729,298.15,Non-HB_NH,0.891,0.98,,11786.0,
137,1729,298.15,Non-HB_NH,0.897,0.98,,11852.0,
137,1729,298.15,Non-HB_NH,0.918,0.984,,12052.0,
137,1729,298.15,Non-HB_NH,0.951,0.99,,12359.0,
137,1729,323.15,Non-HB_NH,0.175,0.666,,13106.0,
137,1729,323.15,Non-HB_NH,0.22,0.716,,14746.0,
137,1729,323.15,Non-HB_NH,0.281,0.767,,16785.0,
137,1729,323.15,Non-HB_NH,0.35,0.809,,19065.0,
137,1729,323.15,Non-HB_NH,0.404,0.835,,20452.0,
137,1729,323.15,Non-HB_NH,0.459,0.858,,22105.0,
137,1729,323.15,Non-HB_NH,0.492,0.869,,22905.0,
137,1729,323.15,Non-HB_NH,0.552,0.889,,24438.0,
137,1729,323.15,Non-HB_NH,0.548,0.888,,24558.0,
137,1729,323.15,Non-HB_NH,0.592,0.901,,25651.0,
137,1729,323.15,Non-HB_NH,0.632,0.913,,26651.0,
137,1729,323.15,Non-HB_NH,0.65,0.917,,27131.0,
137,1729,323.15,Non-HB_NH,0.661,0.92,,27371.0,
137,1729,323.15,Non-HB_NH,0.712,0.933,,28744.0,
137,1729,323.15,Non-HB_NH,0.723,0.935,,28918.0,
137,1729,323.15,Non-HB_NH,0.778,0.949,,30358.0,
137,1729,323.15,Non-HB_NH,0.816,0.958,,31211.0,
137,1729,323.15,Non-HB_NH,0.861,0.968,,32411.0,
137,1729,323.15,Non-HB_NH,0.888,0.974,,33091.0,
137,1729,323.15,Non-HB_NH,0.901,0.977,,33531.0,
137,1729,323.15,Non-HB_NH,0.949,0.988,,34851.0,
138,1792,324.65,Non-HB_NH,0.7491,0.9761,,17892.0,
138,1792,324.65,Non-HB_NH,0.7776,0.9767,,17959.0,
138,1792,324.65,Non-HB_NH,0.8821,0.9803,,18079.0,
138,1792,324.65,Non-HB_NH,0.9075,0.9823,,18199.0,
138,1792,324.65,Non-HB_NH,0.9379,0.9856,,18492.0,
138,1792,324.65,Non-HB_NH,0.9523,0.9882,,18972.0,
138,1792,324.65,Non-HB_NH,0.9648,0.9907,,19145.0,
138,1792,324.65,Non-HB_NH,0.9712,0.9912,,19198.0,
138,1792,324.65,Non-HB_NH,0.9725,0.9924,,19172.0,
138,1792,324.65,Non-HB_NH,0.9751,0.9929,,19225.0,
138,1792,324.65,Non-HB_NH,0.9782,0.9938,,19292.0,
138,1792,324.65,Non-HB_NH,0.9877,0.9963,,19398.0,
138,1792,324.65,Non-HB_NH,0.9924,0.9976,,19452.0,
138,1792,324.65,Non-HB_NH,0.9946,0.9983,,19452.0,
138,1792,324.65,Non-HB_NH,0.995,0.9984,,19518.0,
138,1792,324.65,Non-HB_NH,0.9972,0.9991,,19505.0,
138,1792,324.65,Non-HB_NH,0.9976,0.9992,,19532.0,
138,1792,353.15,Non-HB_NH,0.0755,0.9094,,25253.0,
138,1792,353.15,Non-HB_NH,0.1975,0.9445,,38947.0,
138,1792,353.15,Non-HB_NH,0.2875,0.9505,,42551.0,
138,1792,353.15,Non-HB_NH,0.3835,0.9544,,44446.0,
138,1792,353.15,Non-HB_NH,0.385,0.954,,44463.0,
138,1792,353.15,Non-HB_NH,0.4875,0.957,,45624.0,
138,1792,353.15,Non-HB_NH,0.5775,0.9582,,46456.0,
138,1792,353.15,Non-HB_NH,0.5798,0.9582,,46475.0,
138,1792,353.15,Non-HB_NH,0.7,0.9607,,47620.0,
138,1792,353.15,Non-HB_NH,0.7003,0.9607,,47603.0,
138,1792,353.15,Non-HB_NH,0.7895,0.9641,,48719.0,
138,1792,353.15,Non-HB_NH,0.9028,0.9755,,50962.0,
138,1792,353.15,Non-HB_NH,0.9059,0.9758,,51057.0,
216,1712,333.15,Non-HB_NH,0.103,0.216,,64248.0,
216,1712,333.15,Non-HB_NH,0.209,0.365,,71034.0,
216,1712,333.15,Non-HB_NH,0.366,0.522,,78993.0,
216,1712,333.15,Non-HB_NH,0.517,0.632,,84633.0,
216,1712,333.15,Non-HB_NH,0.646,0.723,,88233.0,
216,1712,333.15,Non-HB_NH,0.749,0.794,,90179.0,
216,1712,333.15,Non-HB_NH,0.871,0.881,,90739.0,
401,1911,238.15,Non-HB_NH,0.159,0.452,,147935.0,
401,1911,238.15,Non-HB_NH,0.165,0.46,,147935.0,
401,1911,238.15,Non-HB_NH,0.172,0.535,,163133.0,
401,1911,238.15,Non-HB_NH,0.25,0.712,,224942.0,
401,1911,238.15,Non-HB_NH,0.264,0.724,,223928.0,
401,1911,238.15,Non-HB_NH,0.268,0.714,,221902.0,
401,1911,238.15,Non-HB_NH,0.28,0.744,,231021.0,
401,1911,238.15,Non-HB_NH,0.43,0.826,,344505.0,
401,1911,238.15,Non-HB_NH,0.435,0.832,,346532.0,
401,1911,238.15,Non-HB_NH,0.637,0.924,,515744.0,
401,1911,238.15,Non-HB_NH,0.642,0.928,,515744.0,
401,1911,213.15,Non-HB_NH,0.1,0.532,,41543.0,
401,1911,213.15,Non-HB_NH,0.107,0.531,,41543.0,
401,1911,213.15,Non-HB_NH,0.23,0.764,,66875.0,
401,1911,213.15,Non-HB_NH,0.346,0.865,,100312.0,
401,1911,213.15,Non-HB_NH,0.347,0.868,,100312.0,
401,1911,213.15,Non-HB_NH,0.537,0.918,,176306.0,
401,1911,213.15,Non-HB_NH,0.601,0.967,,200624.0,
401,1911,213.15,Non-HB_NH,0.685,0.984,,237101.0,
401,1911,223.15,Non-HB_NH,0.104,0.486,,67888.0,
401,1911,223.15,Non-HB_NH,0.106,0.485,,67888.0,
401,1911,223.15,Non-HB_NH,0.246,0.756,,123617.0,
401,1911,223.15,Non-HB_NH,0.263,0.764,,123617.0,
401,1911,223.15,Non-HB_NH,0.312,0.812,,145908.0,
401,1911,223.15,Non-HB_NH,0.372,0.85,,175292.0,
401,1911,223.15,Non-HB_NH,0.471,0.899,,218862.0,
401,1911,223.15,Non-HB_NH,0.6,0.964,,302962.0,
401,1911,273.15,Non-HB_NH,0.038,0.106,,463055.0,
401,1911,273.15,Non-HB_NH,0.038,0.118,,469135.0,
401,1911,273.15,Non-HB_NH,0.041,0.125,,466095.0,
401,1911,273.15,Non-HB_NH,0.142,0.358,,605924.0,
401,1911,273.15,Non-HB_NH,0.161,0.398,,626189.0,
401,1911,273.15,Non-HB_NH,0.161,0.405,,626189.0,
401,1911,273.15,Non-HB_NH,0.171,0.404,,626189.0,
401,1911,240.15,Non-HB_NH,0.078,0.292,,157054.0,
401,1911,240.15,Non-HB_NH,0.104,0.471,,200624.0,
401,1911,240.15,Non-HB_NH,0.144,0.474,,224942.0,
401,1911,288.15,Non-HB_NH,0.036,0.103,,775136.0,
401,1911,288.15,Non-HB_NH,0.039,0.099,,771083.0,
401,1911,248.15,Non-HB_NH,0.089,0.299,,196571.0,
401,1911,248.15,Non-HB_NH,0.164,0.443,,240140.0,
401,1911,248.15,Non-HB_NH,0.175,0.511,,262432.0,
401,1911,248.15,Non-HB_NH,0.41,0.792,,480281.0,
401,1911,248.15,Non-HB_NH,0.424,0.794,,481294.0,
401,1911,248.15,Non-HB_NH,0.581,0.904,,690023.0,
401,1911,248.15,Non-HB_NH,0.597,0.902,,690023.0,
501,2731,313.15,Non-HB_NH,0.323,0.881,,9999.0,
501,2731,313.15,Non-HB_NH,0.511,0.936,,14132.0,
501,2731,313.15,Non-HB_NH,0.658,0.962,,17332.0,
501,2731,313.15,Non-HB_NH,0.675,0.964,,17719.0,
501,2731,313.15,Non-HB_NH,0.807,0.98,,20265.0,
501,1792,363.15,Non-HB_NH,0.225,0.9327,,46787.0,
501,1792,363.15,Non-HB_NH,0.312,0.9513,,59635.0,
501,1792,363.15,Non-HB_NH,0.3715,0.9593,,67352.0,
501,1792,363.15,Non-HB_NH,0.388,0.9606,,68970.0,
501,1792,392.45,Non-HB_NH,0.172,0.865,,81327.0,
501,1792,392.45,Non-HB_NH,0.209,0.888,,95325.0,
501,1792,392.45,Non-HB_NH,0.288,0.916,,116657.0,
501,1792,392.45,Non-HB_NH,0.315,0.92,,125856.0,
501,1792,392.45,Non-HB_NH,0.455,0.95,,161187.0,
501,1792,392.45,Non-HB_NH,0.472,0.952,,166653.0,
501,1792,392.45,Non-HB_NH,0.714,0.977,,222648.0,
501,1792,392.45,Non-HB_NH,0.801,0.983,,242247.0,
501,1792,392.45,Non-HB_NH,0.879,0.989,,260912.0,
501,1792,392.45,Non-HB_NH,0.893,0.99,,263978.0,
501,1792,343.15,Non-HB_NH,0.202,0.9505,,23851.0,
501,1792,343.15,Non-HB_NH,0.3235,0.9687,,33769.0,
501,1792,343.15,Non-HB_NH,0.405,0.9755,,39637.0,
501,1792,343.15,Non-HB_NH,0.464,0.9792,,43484.0,
501,1792,343.15,Non-HB_NH,0.541,0.9825,,47572.0,
501,1792,343.15,Non-HB_NH,0.65,0.987,,53698.0,
501,1792,343.15,Non-HB_NH,0.716,0.9894,,57090.0,
501,1792,343.15,Non-HB_NH,0.7395,0.99,,58022.0,
501,1792,343.15,Non-HB_NH,0.825,0.9932,,62622.0,
501,1792,343.15,Non-HB_NH,0.881,0.9953,,65937.0,
501,1792,343.15,Non-HB_NH,0.929,0.9971,,68726.0,
501,1741,293.15,Non-HB_NH,0.1634,0.803,,5800.0,
501,1741,293.15,Non-HB_NH,0.3401,0.867,,7586.0,
501,1741,293.15,Non-HB_NH,0.5522,0.896,,8626.0,
501,1741,293.15,Non-HB_NH,0.7568,0.921,,9466.0,
501,2852,328.15,Non-HB_NH,0.062,0.974,,10479.0,
501,2852,328.15,Non-HB_NH,0.095,0.9813,,14559.0,
501,2852,328.15,Non-HB_NH,0.166,0.9885,,22665.0,
501,2852,328.15,Non-HB_NH,0.238,0.9914,,28811.0,
501,2852,328.15,Non-HB_NH,0.32,0.9932,,32904.0,
501,2852,328.15,Non-HB_NH,0.354,0.9933,,34784.0,
501,2852,328.15,Non-HB_NH,0.414,0.9938,,36624.0,
501,2852,328.15,Non-HB_NH,0.446,0.9942,,37584.0,
501,2852,328.15,Non-HB_NH,0.526,0.9945,,38997.0,
501,2852,328.15,Non-HB_NH,0.556,0.9951,,39503.0,
501,2852,328.15,Non-HB_NH,0.633,0.9951,,40383.0,
501,2852,328.15,Non-HB_NH,0.718,0.9952,,41117.0,
501,2852,328.15,Non-HB_NH,0.829,0.9956,,41717.0,
501,2852,328.15,Non-HB_NH,0.931,0.9976,,42330.0,
501,2852,328.15,Non-HB_NH,0.962,0.998,,42743.0,
501,1792,323.15,Non-HB_NH,0.559,0.9891,,24318.0,
501,1792,323.15,Non-HB_NH,0.665,0.9916,,27015.0,
501,1792,323.15,Non-HB_NH,0.751,0.9933,,28926.0,
501,1792,323.15,Non-HB_NH,0.7784,0.9941,,29814.0,
501,1792,323.15,Non-HB_NH,0.84,0.9955,,31357.0,
501,1792,323.15,Non-HB_NH,0.8859,0.9967,,32659.0,
501,1792,323.15,Non-HB_NH,0.934,0.9979,,33945.0,
501,2852,318.15,Non-HB_NH,0.073,0.9834,,8746.0,
501,2852,318.15,Non-HB_NH,0.09,0.9854,,9866.0,
501,2852,318.15,Non-HB_NH,0.098,0.986,,10426.0,
501,2852,318.15,Non-HB_NH,0.103,0.9868,,10639.0,
501,2852,318.15,Non-HB_NH,0.113,0.9879,,11786.0,
501,2852,318.15,Non-HB_NH,0.156,0.9905,,14905.0,
501,2852,318.15,Non-HB_NH,0.173,0.991,,15652.0,
501,2852,318.15,Non-HB_NH,0.216,0.9928,,19065.0,
501,2852,318.15,Non-HB_NH,0.226,0.9935,,19758.0,
501,2852,318.15,Non-HB_NH,0.264,0.9941,,21118.0,
501,2852,318.15,Non-HB_NH,0.288,0.994,,22012.0,
501,2852,318.15,Non-HB_NH,0.35,0.9951,,24078.0,
501,2852,318.15,Non-HB_NH,0.407,0.995,,25291.0,
501,2852,318.15,Non-HB_NH,0.474,0.9954,,26078.0,
501,2852,318.15,Non-HB_NH,0.527,0.9963,,26971.0,
501,2852,318.15,Non-HB_NH,0.544,0.996,,27104.0,
501,2852,318.15,Non-HB_NH,0.556,0.9962,,27224.0,
501,2852,318.15,Non-HB_NH,0.604,0.9965,,27664.0,
501,2852,318.15,Non-HB_NH,0.642,0.9964,,27864.0,
501,2852,318.15,Non-HB_NH,0.713,0.9969,,28304.0,
501,2852,318.15,Non-HB_NH,0.717,0.9969,,28371.0,
501,2852,318.15,Non-HB_NH,0.742,0.9969,,28478.0,
501,2852,318.15,Non-HB_NH,0.772,0.9974,,28518.0,
501,2852,318.15,Non-HB_NH,0.777,0.9969,,28571.0,
501,2852,318.15,Non-HB_NH,0.822,0.9972,,28771.0,
501,2852,318.15,Non-HB_NH,0.892,0.9977,,28918.0,
501,2852,318.15,Non-HB_NH,0.927,0.9974,,28904.0,
501,2852,318.15,Non-HB_NH,0.936,0.9977,,29118.0,
501,2852,318.15,Non-HB_NH,0.961,0.9981,,29171.0,
501,2852,318.15,Non-HB_NH,0.976,0.9985,,29344.0,
501,2731,323.15,Non-HB_NH,0.471,0.916,,19452.0,
501,2731,323.15,Non-HB_NH,0.547,0.935,,21998.0,
501,2731,323.15,Non-HB_NH,0.59,0.943,,23065.0,
501,2731,323.15,Non-HB_NH,0.664,0.957,,25425.0,
501,2731,323.15,Non-HB_NH,0.673,0.959,,25718.0,
501,2731,323.15,Non-HB_NH,0.776,0.975,,28998.0,
502,1792,353.15,Non-HB_NH,0.1015,0.7722,,9651.0,
502,1792,353.15,Non-HB_NH,0.1983,0.864,,14869.0,
