comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
2,1922,199.93,Non-HB_Non-HB,0.0085,0.2602,,65156.0,
2,1922,199.93,Non-HB_Non-HB,0.0291,0.5272,,98596.0,
2,1922,199.93,Non-HB_Non-HB,0.0627,0.6614,,135830.0,
2,1922,199.93,Non-HB_Non-HB,0.1313,0.7441,,167550.0,
2,1922,199.93,Non-HB_Non-HB,0.2189,0.7774,,188221.0,
2,1922,199.93,Non-HB_Non-HB,0.4158,0.8024,,203401.0,
2,1922,199.93,Non-HB_Non-HB,0.7298,0.8463,,213740.0,
2,1922,199.93,Non-HB_Non-HB,0.9583,0.9453,,217180.0,
2,1922,199.93,Non-HB_Non-HB,0.8448,0.8848,,217879.0,
2,1922,199.93,Non-HB_Non-HB,0.916,0.8988,,217879.0,
2,1922,227.93,Non-HB_Non-HB,0.0175,0.2203,,256490.0,
2,1922,227.93,Non-HB_Non-HB,0.06,0.4592,,358531.0,
2,1922,227.93,Non-HB_Non-HB,0.1119,0.583,,439200.0,
2,1922,227.93,Non-HB_Non-HB,0.2114,0.6619,,521931.0,
2,1922,227.93,Non-HB_Non-HB,0.4065,0.7203,,587430.0,
2,1922,227.93,Non-HB_Non-HB,0.6219,0.7691,,628800.0,
2,1922,227.93,Non-HB_Non-HB,0.8,0.8338,,652930.0,
2,1922,227.93,Non-HB_Non-HB,0.9741,0.967,,655690.0,
2,1922,227.93,Non-HB_Non-HB,0.8453,0.8625,,657761.0,
2,1922,227.93,Non-HB_Non-HB,0.9356,0.9277,,659830.0,
2,1922,255.32,Non-HB_Non-HB,0.0095,0.0888,,642601.0,
2,1922,255.32,Non-HB_Non-HB,0.0375,0.2509,,774281.0,
2,501,298.15,Non-HB_Non-HB,0.1201,0.9801,,775950.0,
3,501,303.15,Non-HB_Non-HB,0.061,0.1702,,18568.0,
3,501,303.15,Non-HB_Non-HB,0.1035,0.2761,,20246.0,
3,501,303.15,Non-HB_Non-HB,0.1608,0.3697,,22132.0,
3,501,303.15,Non-HB_Non-HB,0.2607,0.4949,,24715.0,
3,501,303.15,Non-HB_Non-HB,0.3233,0.5604,,26269.0,
