comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
5,1921,410.93,Non-HB_OH,8e-06,0.18,,413685.0,
5,1921,410.93,Non-HB_OH,2.1e-05,0.386,,551580.0,
5,1921,410.93,Non-HB_OH,3.5e-05,0.509,,689475.0,
5,1921,310.93,Non-HB_OH,2.4e-05,0.9535,,137895.0,
5,1921,310.93,Non-HB_OH,4.8e-05,0.9772,,275791.0,
5,1921,377.59,Non-HB_OH,2e-06,0.142,,137895.0,
5,1921,377.59,Non-HB_OH,1.7e-05,0.573,,275791.0,
5,1921,377.59,Non-HB_OH,3e-05,0.728,,413685.0,
5,1921,377.59,Non-HB_OH,4.4e-05,0.791,,551580.0,
5,1921,377.59,Non-HB_OH,5.7e-05,0.834,,689475.0,
5,1921,344.26,Non-HB_OH,1.2e-05,0.765,,137895.0,
5,1921,344.26,Non-HB_OH,2.9e-05,0.885,,275791.0,
5,1921,344.26,Non-HB_OH,4.4e-05,0.9243,,413685.0,
5,1921,344.26,Non-HB_OH,5.8e-05,0.9443,,551580.0,
5,1921,344.26,Non-HB_OH,7.1e-05,0.9562,,689475.0,
7,1103,313.15,Non-HB_OH,0.0704,0.8694,,50000.0,
7,1103,313.15,Non-HB_OH,0.0955,0.8899,,61500.0,
7,1103,313.15,Non-HB_OH,0.1204,0.915,,71199.0,
7,1103,313.15,Non-HB_OH,0.1826,0.9203,,82600.0,
7,1103,313.15,Non-HB_OH,0.2509,0.9254,,91700.0,
7,1103,313.15,Non-HB_OH,0.3835,0.9451,,104501.0,
7,1103,313.15,Non-HB_OH,0.533,0.954,,110000.0,
7,1103,313.15,Non-HB_OH,0.75,0.9603,,115200.0,
7,1105,303.15,Non-HB_OH,0.01,0.73,,4692.0,
7,1105,303.15,Non-HB_OH,0.02,0.8421,,7959.0,
7,1105,303.15,Non-HB_OH,0.05,0.9274,,16936.0,
7,1105,303.15,Non-HB_OH,0.1,0.9598,,29487.0,
7,1105,303.15,Non-HB_OH,0.15,0.9711,,39623.0,
7,1105,303.15,Non-HB_OH,0.2,0.9769,,47803.0,
7,1105,303.15,Non-HB_OH,0.3,0.9825,,59446.0,
7,1105,303.15,Non-HB_OH,0.4,0.9853,,66660.0,
7,1105,303.15,Non-HB_OH,0.5,0.9869,,71153.0,
7,1105,303.15,Non-HB_OH,0.6,0.988,,74167.0,
7,1105,303.15,Non-HB_OH,0.7,0.9889,,76370.0,
7,1105,303.15,Non-HB_OH,0.8,0.99,,78268.0,
7,1105,303.15,Non-HB_OH,0.9,0.9914,,80031.0,
7,1109,303.15,Non-HB_OH,0.01,0.8692,,3370.0,
7,1109,303.15,Non-HB_OH,0.02,0.9294,,6195.0,
7,1109,303.15,Non-HB_OH,0.05,0.9695,,14059.0,
7,1109,303.15,Non-HB_OH,0.1,0.9837,,25419.0,
7,1109,303.15,Non-HB_OH,0.15,0.9886,,34982.0,
7,1109,303.15,Non-HB_OH,0.2,0.9911,,42947.0,
7,1109,303.15,Non-HB_OH,0.3,0.9935,,54901.0,
7,1109,303.15,Non-HB_OH,0.4,0.9947,,62985.0,
7,1109,303.15,Non-HB_OH,0.5,0.9954,,68502.0,
7,1109,303.15,Non-HB_OH,0.6,0.9959,,72449.0,
7,1109,303.15,Non-HB_OH,0.7,0.9963,,75290.0,
7,1109,303.15,Non-HB_OH,0.8,0.9967,,77394.0,
7,1109,303.15,Non-HB_OH,0.9,0.9972,,79360.0,
7,1103,317.15,Non-HB_OH,0.0598,0.8402,,49400.0,
7,1103,317.15,Non-HB_OH,0.0793,0.8711,,61600.0,
7,1103,317.15,Non-HB_OH,0.1183,0.9008,,77800.0,
7,1103,317.15,Non-HB_OH,0.1578,0.9162,,89801.0,
7,1103,317.15,Non-HB_OH,0.2392,0.931,,104401.0,
7,1103,317.15,Non-HB_OH,0.3945,0.943,,120100.0,
7,1103,317.15,Non-HB_OH,0.6202,0.9513,,130000.0,
7,1103,317.15,Non-HB_OH,0.7703,0.9561,,134000.0,
11,1109,323.15,Non-HB_OH,0.01,0.5391,,3794.0,
11,1109,323.15,Non-HB_OH,0.02,0.6979,,5742.0,
11,1109,323.15,Non-HB_OH,0.05,0.8478,,11120.0,
11,1109,323.15,Non-HB_OH,0.1,0.9131,,18720.0,
11,1109,323.15,Non-HB_OH,0.15,0.9367,,24759.0,
11,1109,323.15,Non-HB_OH,0.2,0.9493,,29767.0,
11,1109,323.15,Non-HB_OH,0.3,0.9621,,37197.0,
11,1109,323.15,Non-HB_OH,0.4,0.9686,,42079.0,
11,1109,323.15,Non-HB_OH,0.5,0.9725,,45320.0,
11,1109,323.15,Non-HB_OH,0.6,0.9755,,47724.0,
11,1109,323.15,Non-HB_OH,0.7,0.9781,,49608.0,
11,1109,323.15,Non-HB_OH,0.8,0.9807,,51136.0,
11,1109,323.15,Non-HB_OH,0.9,0.9841,,52474.0,
11,1103,318.15,Non-HB_OH,0.256,0.8074,,40902.0,
11,1103,318.15,Non-HB_OH,0.459,0.8416,,45888.0,
11,1103,318.15,Non-HB_OH,0.4711,0.8434,,46028.0,
11,1103,318.15,Non-HB_OH,0.5553,0.8511,,46577.0,
11,1103,318.15,Non-HB_OH,0.7153,0.8639,,48109.0,
11,1102,293.15,Non-HB_OH,0.05,0.4821,,10786.0,
11,1102,293.15,Non-HB_OH,0.1,0.6331,,14572.0,
11,1102,293.15,Non-HB_OH,0.15,0.6959,,17012.0,
11,1102,293.15,Non-HB_OH,0.2,0.726,,18439.0,
11,1102,293.15,Non-HB_OH,0.25,0.7443,,19345.0,
11,1102,293.15,Non-HB_OH,0.3,0.7553,,19998.0,
11,1102,293.15,Non-HB_OH,0.35,0.7635,,20412.0,
11,1102,293.15,Non-HB_OH,0.4,0.7679,,20625.0,
11,1102,293.15,Non-HB_OH,0.45,0.7702,,20772.0,
11,1102,293.15,Non-HB_OH,0.5,0.7717,,20852.0,
11,1102,293.15,Non-HB_OH,0.55,0.7736,,20905.0,
11,1102,293.15,Non-HB_OH,0.6,0.7754,,20958.0,
11,1102,293.15,Non-HB_OH,0.65,0.7767,,20958.0,
11,1102,293.15,Non-HB_OH,0.7,0.7792,,21012.0,
11,1102,293.15,Non-HB_OH,0.75,0.783,,21078.0,
11,1102,293.15,Non-HB_OH,0.8,0.791,,21118.0,
11,1102,293.15,Non-HB_OH,0.85,0.8094,,21332.0,
11,1102,293.15,Non-HB_OH,0.9,0.8352,,20798.0,
11,1102,293.15,Non-HB_OH,0.95,0.8854,,20238.0,
11,1105,323.15,Non-HB_OH,0.162,0.882,,32711.0,
11,1105,323.15,Non-HB_OH,0.173,0.885,,34410.0,
11,1105,323.15,Non-HB_OH,0.176,0.886,,35720.0,
11,1105,323.15,Non-HB_OH,0.204,0.896,,36640.0,
11,1105,323.15,Non-HB_OH,0.231,0.905,,39419.0,
11,1105,323.15,Non-HB_OH,0.335,0.921,,44030.0,
11,1105,323.15,Non-HB_OH,0.383,0.925,,46220.0,
11,1105,323.15,Non-HB_OH,0.475,0.934,,48589.0,
11,1105,323.15,Non-HB_OH,0.595,0.94,,51110.0,
11,1105,323.15,Non-HB_OH,0.821,0.944,,53510.0,
11,1105,323.15,Non-HB_OH,0.907,0.951,,54559.0,
11,1105,298.15,Non-HB_OH,0.082,0.901,,8306.0,
11,1105,298.15,Non-HB_OH,0.171,0.939,,12879.0,
11,1105,298.15,Non-HB_OH,0.276,0.95,,15385.0,
11,1105,298.15,Non-HB_OH,0.488,0.964,,18145.0,
11,1105,298.15,Non-HB_OH,0.681,0.969,,19025.0,
11,1105,298.15,Non-HB_OH,0.715,0.972,,19305.0,
11,1105,298.15,Non-HB_OH,0.765,0.976,,19545.0,
11,1105,298.15,Non-HB_OH,0.867,0.984,,19945.0,
11,1105,298.15,Non-HB_OH,0.894,0.987,,19972.0,
11,1107,338.15,Non-HB_OH,0.025,0.358,,37590.0,
11,1107,338.15,Non-HB_OH,0.055,0.449,,44340.0,
11,1107,338.15,Non-HB_OH,0.116,0.567,,56921.0,
11,1107,338.15,Non-HB_OH,0.151,0.641,,64389.0,
11,1107,338.15,Non-HB_OH,0.2,0.671,,68310.0,
11,1107,338.15,Non-HB_OH,0.283,0.716,,75920.0,
11,1107,338.15,Non-HB_OH,0.354,0.74,,81291.0,
11,1107,338.15,Non-HB_OH,0.577,0.805,,88530.0,
11,1107,338.15,Non-HB_OH,0.614,0.815,,90110.0,
11,1107,338.15,Non-HB_OH,0.671,0.831,,91670.0,
11,1107,338.15,Non-HB_OH,0.736,0.825,,92580.0,
11,1107,338.15,Non-HB_OH,0.815,0.878,,93360.0,
11,1107,338.15,Non-HB_OH,0.825,0.878,,93130.0,
11,1107,338.15,Non-HB_OH,0.886,0.923,,94740.0,
11,1107,338.15,Non-HB_OH,0.923,0.906,,93480.0,
11,1107,338.15,Non-HB_OH,0.96,0.911,,93120.0,
11,1109,298.15,Non-HB_OH,0.1,0.9563,,6953.0,
11,1109,298.15,Non-HB_OH,0.2,0.9752,,11288.0,
11,1109,298.15,Non-HB_OH,0.3,0.9816,,14198.0,
11,1109,298.15,Non-HB_OH,0.4,0.9849,,16112.0,
11,1109,298.15,Non-HB_OH,0.5,0.9867,,17328.0,
11,1109,298.15,Non-HB_OH,0.6,0.988,,18129.0,
11,1109,298.15,Non-HB_OH,0.7,0.9891,,18761.0,
11,1109,298.15,Non-HB_OH,0.8,0.9903,,19300.0,
11,1109,298.15,Non-HB_OH,0.9,0.9917,,19740.0,
11,1102,283.15,Non-HB_OH,0.05,0.5778,,7199.0,
11,1102,283.15,Non-HB_OH,0.1,0.6888,,9426.0,
11,1102,283.15,Non-HB_OH,0.15,0.7293,,10639.0,
11,1102,283.15,Non-HB_OH,0.2,0.7506,,11332.0,
11,1102,283.15,Non-HB_OH,0.25,0.765,,11799.0,
11,1102,283.15,Non-HB_OH,0.3,0.7725,,12132.0,
11,1102,283.15,Non-HB_OH,0.35,0.7774,,12399.0,
11,1102,283.15,Non-HB_OH,0.4,0.781,,12599.0,
11,1102,283.15,Non-HB_OH,0.45,0.783,,12719.0,
11,1102,283.15,Non-HB_OH,0.5,0.7852,,12786.0,
11,1102,283.15,Non-HB_OH,0.55,0.7861,,12839.0,
11,1102,283.15,Non-HB_OH,0.6,0.7867,,12879.0,
11,1102,283.15,Non-HB_OH,0.65,0.7876,,12866.0,
11,1102,283.15,Non-HB_OH,0.7,0.7876,,12866.0,
11,1102,283.15,Non-HB_OH,0.75,0.7884,,12852.0,
11,1102,283.15,Non-HB_OH,0.8,0.7902,,12839.0,
11,1102,283.15,Non-HB_OH,0.85,0.7973,,12759.0,
11,1102,283.15,Non-HB_OH,0.9,0.8143,,12639.0,
11,1102,283.15,Non-HB_OH,0.95,0.8529,,12239.0,
11,1102,303.15,Non-HB_OH,0.05,0.4273,,17065.0,
11,1102,303.15,Non-HB_OH,0.1,0.5778,,22105.0,
11,1102,303.15,Non-HB_OH,0.15,0.6461,,25505.0,
11,1102,303.15,Non-HB_OH,0.2,0.684,,27718.0,
11,1102,303.15,Non-HB_OH,0.25,0.7088,,29304.0,
11,1102,303.15,Non-HB_OH,0.3,0.7257,,30478.0,
11,1102,303.15,Non-HB_OH,0.35,0.7378,,31371.0,
11,1102,303.15,Non-HB_OH,0.4,0.7461,,32037.0,
11,1102,303.15,Non-HB_OH,0.45,0.7544,,32411.0,
11,1102,303.15,Non-HB_OH,0.5,0.7593,,32731.0,
11,1102,303.15,Non-HB_OH,0.55,0.7613,,32904.0,
11,1102,303.15,Non-HB_OH,0.6,0.7633,,32957.0,
11,1102,303.15,Non-HB_OH,0.65,0.7652,,32931.0,
11,1102,303.15,Non-HB_OH,0.7,0.7655,,32917.0,
11,1102,303.15,Non-HB_OH,0.75,0.7663,,32917.0,
11,1102,303.15,Non-HB_OH,0.8,0.7693,,32824.0,
11,1102,303.15,Non-HB_OH,0.85,0.7773,,32571.0,
11,1102,303.15,Non-HB_OH,0.9,0.7994,,31771.0,
11,1102,303.15,Non-HB_OH,0.95,0.8458,,30264.0,
11,1105,338.15,Non-HB_OH,0.152,0.833,,54630.0,
11,1105,338.15,Non-HB_OH,0.21,0.859,,62410.0,
11,1105,338.15,Non-HB_OH,0.235,0.866,,64360.0,
11,1105,338.15,Non-HB_OH,0.309,0.883,,70979.0,
11,1105,338.15,Non-HB_OH,0.4,0.895,,77590.0,
11,1105,338.15,Non-HB_OH,0.5,0.903,,82391.0,
11,1105,338.15,Non-HB_OH,0.599,0.911,,85590.0,
11,1105,338.15,Non-HB_OH,0.7,0.917,,87730.0,
11,1105,338.15,Non-HB_OH,0.81,0.923,,89370.0,
11,1105,338.15,Non-HB_OH,0.95,0.945,,91190.0,
11,1102,298.15,Non-HB_OH,0.1,0.62,,19358.0,
11,1102,298.15,Non-HB_OH,0.2,0.694,,22945.0,
11,1102,298.15,Non-HB_OH,0.3,0.721,,24371.0,
11,1102,298.15,Non-HB_OH,0.4,0.734,,24998.0,
11,1102,298.15,Non-HB_OH,0.5,0.739,,25211.0,
