comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
1002,1921,313.15,OH_HB-A,0.035,0.725,,45596.0,
1002,1921,313.15,OH_HB-A,0.05,0.765,,60795.0,
1002,1921,313.15,OH_HB-A,0.085,0.835,,96259.0,
1002,1921,313.15,OH_HB-A,0.15,0.9,,130656.0,
1002,1921,313.15,OH_HB-A,0.26,0.94,,157054.0,
1002,1921,313.15,OH_HB-A,0.56,0.985,,201584.0,
1002,1921,373.15,OH_HB-A,0.01,0.48,,177319.0,
1002,1921,373.15,OH_HB-A,0.02,0.575,,222915.0,
1002,1921,373.15,OH_HB-A,0.03,0.58,,253313.0,
1002,1921,373.15,OH_HB-A,0.04,0.655,,303975.0,
1002,1921,373.15,OH_HB-A,0.15,0.795,,486360.0,
1002,1921,283.15,OH_HB-A,0.049,0.8816,,11266.0,
1002,1921,283.15,OH_HB-A,0.082,0.8879,,17012.0,
1002,1921,283.15,OH_HB-A,0.095,0.8992,,19120.0,
1002,1921,283.15,OH_HB-A,0.105,0.8994,,20725.0,
1002,1921,283.15,OH_HB-A,0.2705,0.9365,,38197.0,
1002,1921,283.15,OH_HB-A,0.466,0.9523,,50876.0,
1002,1921,283.15,OH_HB-A,0.488,0.9563,,52028.0,
1002,1921,293.15,OH_HB-A,0.054,0.8725,,19132.0,
1002,1921,293.15,OH_HB-A,0.088,0.9079,,30251.0,
1002,1921,293.15,OH_HB-A,0.129,0.93,,42317.0,
1002,1921,293.15,OH_HB-A,0.19,0.9445,,57422.0,
1002,1921,293.15,OH_HB-A,0.218,0.9472,,60888.0,
1002,1921,348.15,OH_HB-A,0.025,0.685,,121590.0,
1002,1921,348.15,OH_HB-A,0.045,0.73,,151988.0,
1002,1921,348.15,OH_HB-A,0.1,0.835,,253313.0,
1002,1921,348.15,OH_HB-A,0.15,0.87,,303975.0,
1002,1921,348.15,OH_HB-A,0.26,0.93,,405300.0,
1005,1921,353.15,OH_HB-A,0.003,0.2263,,61862.0,
1005,1921,353.15,OH_HB-A,0.005,0.3085,,69061.0,
1005,1921,353.15,OH_HB-A,0.009,0.4162,,91859.0,
1005,1921,353.15,OH_HB-A,0.92,0.8365,,144388.0,
1005,1921,353.15,OH_HB-A,0.97,0.9042,,136656.0,
1005,1921,353.15,OH_HB-A,0.99,0.925,,128656.0,
