comp.A,comp.B,T,sheet_name,xA,yA_exp,yA_pred,P_exp,P_pred
1101,1921,313.05,OH_OH,0.2095,0.6435,,16759.0,
1101,1921,313.05,OH_OH,0.2875,0.7105,,19132.0,
1101,1921,313.05,OH_OH,0.3465,0.745,,20798.0,
1101,1921,313.05,OH_OH,0.422,0.785,,22425.0,
1101,1921,313.05,OH_OH,0.525,0.829,,24585.0,
1101,1921,313.05,OH_OH,0.596,0.8575,,26011.0,
1101,1921,313.05,OH_OH,0.688,0.891,,28171.0,
1101,1921,313.05,OH_OH,0.776,0.922,,30024.0,
1101,1921,313.05,OH_OH,0.8825,0.9615,,32317.0,
1101,1921,313.05,OH_OH,0.951,0.9825,,34384.0,
1101,1921,312.91,OH_OH,0.0478,0.2559,,9079.0,
1101,1921,312.91,OH_OH,0.0925,0.4562,,11412.0,
1101,1921,312.91,OH_OH,0.0925,0.4628,,11506.0,
1101,1921,312.91,OH_OH,0.1335,0.6214,,13012.0,
1101,1921,312.91,OH_OH,0.1523,0.6164,,13786.0,
1101,1921,312.91,OH_OH,0.1809,0.6486,,14639.0,
1101,1921,312.91,OH_OH,0.2032,0.6734,,15785.0,
1101,1921,312.91,OH_OH,0.2027,0.6796,,15879.0,
1101,1921,312.91,OH_OH,0.2228,0.6954,,16319.0,
1101,1921,312.91,OH_OH,0.2557,0.7263,,17599.0,
1101,1921,312.91,OH_OH,0.2866,0.7383,,18425.0,
1101,1921,312.91,OH_OH,0.3065,0.7612,,19025.0,
1101,1921,312.91,OH_OH,0.3716,0.8053,,20705.0,
1101,1921,312.91,OH_OH,0.4172,0.8048,,21532.0,
1101,1921,312.91,OH_OH,0.4362,0.8238,,22318.0,
1101,1921,312.91,OH_OH,0.5033,0.8457,,23385.0,
1101,1921,312.91,OH_OH,0.5933,0.8619,,25091.0,
1101,1921,312.91,OH_OH,0.6917,0.8835,,26998.0,
1101,1921,312.91,OH_OH,0.6949,0.8974,,27518.0,
1101,1921,312.91,OH_OH,0.8002,0.9536,,29744.0,
1101,1921,312.91,OH_OH,0.927,0.9761,,32571.0,
1101,1102,393.15,OH_OH,0.061,0.082,,438507.0,
1101,1102,393.15,OH_OH,0.15,0.2,,455743.0,
1101,1102,393.15,OH_OH,0.212,0.277,,466086.0,
1101,1102,393.15,OH_OH,0.282,0.36,,480565.0,
1101,1102,393.15,OH_OH,0.386,0.473,,499870.0,
1101,1102,393.15,OH_OH,0.491,0.582,,522622.0,
1101,1102,393.15,OH_OH,0.589,0.675,,543995.0,
1101,1102,393.15,OH_OH,0.678,0.753,,561923.0,
1101,1102,393.15,OH_OH,0.838,0.882,,597086.0,
1101,1102,393.15,OH_OH,0.942,0.959,,620528.0,
1101,1921,318.15,OH_OH,0.0753,0.3986,,14770.0,
1101,1921,318.15,OH_OH,0.1358,0.5384,,18185.0,
1101,1921,318.15,OH_OH,0.2171,0.6466,,21889.0,
1101,1921,318.15,OH_OH,0.2926,0.7082,,24758.0,
1101,1921,318.15,OH_OH,0.3805,0.7641,,27671.0,
1101,1921,318.15,OH_OH,0.4731,0.8073,,30066.0,
1101,1921,318.15,OH_OH,0.5563,0.8397,,32579.0,
1101,1921,318.15,OH_OH,0.6507,0.8743,,35176.0,
1101,1921,318.15,OH_OH,0.7604,0.9136,,38142.0,
1101,1921,318.15,OH_OH,0.8739,0.9538,,40953.0,
1101,1921,318.15,OH_OH,0.9354,0.9773,,42782.0,
1101,1921,298.15,OH_OH,0.0085,0.0719,,3414.0,
1101,1921,298.15,OH_OH,0.0159,0.1219,,3717.0,
1101,1921,298.15,OH_OH,0.0603,0.3579,,4544.0,
1101,1921,298.15,OH_OH,0.093,0.4548,,5209.0,
1101,1921,298.15,OH_OH,0.13,0.5467,,5889.0,
1101,1921,298.15,OH_OH,0.1709,0.6059,,6763.0,
1101,1921,298.15,OH_OH,0.2649,0.7073,,8369.0,
1101,1921,298.15,OH_OH,0.3653,0.7784,,9794.0,
1101,1921,298.14,OH_OH,0.0444,0.2777,,4198.0,
1101,1921,298.14,OH_OH,0.1429,0.5669,,6305.0,
1101,1921,298.14,OH_OH,0.2385,0.6894,,7983.0,
1101,1921,298.14,OH_OH,0.3173,0.7482,,9097.0,
1101,1921,298.14,OH_OH,0.3891,0.787,,9961.0,
1101,1921,298.14,OH_OH,0.5082,0.8377,,11254.0,
1101,1921,298.14,OH_OH,0.5873,0.8673,,12136.0,
1101,1921,298.14,OH_OH,0.6123,0.8764,,12343.0,
1101,1921,298.14,OH_OH,0.6553,0.8917,,12867.0,
1101,1921,298.14,OH_OH,0.7163,0.9127,,13548.0,
1101,1921,298.14,OH_OH,0.8037,0.9415,,14554.0,
1101,1921,298.14,OH_OH,0.8597,0.959,,15227.0,
1101,1921,298.14,OH_OH,0.9361,0.9817,,16151.0,
1101,1102,298.15,OH_OH,0.0431,0.086,,8230.0,
1101,1102,298.15,OH_OH,0.1129,0.2112,,8842.0,
1101,1102,298.15,OH_OH,0.2564,0.423,,10131.0,
1101,1102,298.15,OH_OH,0.311,0.4903,,10629.0,
1101,1102,298.15,OH_OH,0.3879,0.5752,,11316.0,
1101,1102,298.15,OH_OH,0.4135,0.6011,,11556.0,
1101,1102,298.15,OH_OH,0.4843,0.6678,,12204.0,
1101,1102,298.15,OH_OH,0.5563,0.7288,,12860.0,
1101,1102,298.15,OH_OH,0.5654,0.736,,12938.0,
1101,1102,298.15,OH_OH,0.6206,0.7782,,13451.0,
1101,1102,298.15,OH_OH,0.6437,0.7949,,13658.0,
1101,1102,298.15,OH_OH,0.7296,0.8528,,14442.0,
1101,1102,298.15,OH_OH,0.8303,0.9131,,15365.0,
1101,1102,298.15,OH_OH,0.9656,0.9836,,16604.0,
1101,1921,335.65,OH_OH,0.0873,0.3672,,33731.0,
1101,1921,335.65,OH_OH,0.19,0.5629,,45663.0,
1101,1921,335.65,OH_OH,0.3417,0.6987,,56329.0,
