fold_idx,r2-y_train,r2-y_test,r2_P_train,r2_P_test,AAD-y_train,AAD-y_test,AARD-P_train,AARD-P_test,median_AAD_y_train,median_AAD_y_test,median_AARD_P_train,median_AARD_P_test
1,0.995350242,0.990787577,0.993236012,0.989184228,0.667926049,1.043721496,2.359496166,3.254309501,0.003910768,0.005692014,0.523168274,0.631695129
2,0.994872148,0.990094449,0.992958227,0.992184591,0.691791299,1.080667117,2.066033942,2.811633549,0.003898499,0.005570022,0.405238178,0.516015259
3,0.99554645,0.988306093,0.993089141,0.939552055,0.686809273,1.11650144,2.004008017,2.862123539,0.00428382,0.005540162,0.43030925,0.504412186
4,0.995812119,0.98623861,0.993355291,0.984027298,0.62467562,1.176799025,2.458950414,3.484279233,0.003648343,0.005464304,0.544994087,0.618569368
5,0.994824627,0.990609063,0.992683457,0.985069366,0.744287062,1.133281271,2.357594747,3.143905402,0.004560495,0.006196432,0.522496346,0.568895309
6,0.994965616,0.994062796,0.993105624,0.990742374,0.657107505,0.941234168,2.109391268,2.550624429,0.003608514,0.005064132,0.413147018,0.487868019
7,0.992165496,0.990710003,0.992310632,0.992523536,0.885206191,1.207232132,2.778833879,3.43941037,0.005224627,0.006224826,0.598404602,0.758060379
8,0.996500334,0.993490349,0.992409035,0.995016151,0.535393422,1.002596483,1.980661428,2.584030996,0.003259572,0.005052402,0.411500931,0.521219887
9,0.993732243,0.990440875,0.991736089,0.965252461,0.796140061,1.166570597,2.425881141,3.123728075,0.004712359,0.005997874,0.523240707,0.616993103
10,0.994479371,0.992912078,0.995193546,0.96939511,0.722891544,1.043747168,2.092795325,3.231191131,0.004174988,0.005409122,0.441258362,0.534687042
