trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
0,2,365.1444265842438,00:06:05,84087,1384,0.00617974903434515,0.00907178409397602,3.072285479549226,4,0.0002063226881499268,246,1439,72,184,123,112,230
1,2,283.9387276172638,00:04:43,63841,967,0.006432314403355122,0.009058085270226002,3.082310868029256,3,0.001483514036458015,180,986,136,118,122,151
2,2,493.4500641822815,00:08:13,33974,494,0.008535399101674557,0.01018579676747322,3.770860960974868,3,0.0003507816192861575,32,533,146,94,36,36
3,2,249.1837282180786,00:04:09,61459,865,0.00710129551589489,0.009696554392576218,3.457198780322287,4,0.002880675778064557,255,978,164,57,173,57,248
4,2,468.1419053077698,00:07:48,98414,1028,0.007360716816037893,0.010017135180532932,3.223697731634675,4,0.00011105541425071778,107,1115,27,169,218,160,115
5,2,97.07820892333984,00:01:37,98672,204,0.010016239248216152,0.012081763707101345,3.6395191689459048,2,0.00014685104637630452,87,217,253,224,67
6,2,358.2365849018097,00:05:58,95407,846,0.006110939662903547,0.008570365607738495,3.013972972991638,4,0.0010941877339232468,107,861,158,181,103,226,34
7,2,513.7136166095734,00:08:33,47189,1307,0.006288169417530298,0.008518579415977001,3.1674744597727784,3,0.0006424890048816145,103,1316,148,123,39,202
8,2,88.72308468818665,00:01:28,30332,385,0.011663290672004223,0.013254587538540363,4.288590438450189,1,0.0009399311534313038,241,409,224,30
9,2,270.3361556529999,00:04:30,13047,1269,0.009760222397744656,0.012330771423876286,3.7448103095063026,1,0.002578905051538764,243,1312,77,62
10,2,200.2480273246765,00:03:20,133589,688,0.013237064704298973,0.01377926953136921,3.913952279995585,2,0.008992129791989378,171,692,191,254,252
11,2,510.5854866504669,00:08:30,81257,1488,0.005952279549092054,0.00857266690582037,3.0250448789956668,4,0.00036172913898519036,148,1495,89,182,119,246,17
12,2,272.84852266311646,00:04:32,71474,759,0.007044096011668444,0.009137474000453949,3.600437545319016,4,0.0005179022940310457,142,761,96,177,94,245,17
13,2,945.0985445976257,00:15:45,117043,1474,0.004705003462731838,0.00748387211933732,2.7417404955537883,4,0.0003438675416247317,58,1489,107,217,166,244,22
14,2,846.8821895122528,00:14:06,141801,1150,0.006081890780478716,0.008541874587535858,3.1738715510138142,3,0.0014907245910857749,45,1157,201,223,177,200
15,2,318.8757908344269,00:05:18,126027,547,0.007280608639121056,0.009083583950996399,3.2552474002941767,4,0.0002983694869438205,74,581,112,218,169,207,83
16,2,509.2230718135834,00:08:29,23431,746,0.02122609317302704,0.02077339217066765,5.276548910033399,2,0.009225560179097618,61,924,41,151,83
17,2,423.53998255729675,00:07:03,124396,1113,0.008375825360417366,0.009765082038939,3.433083446032076,3,0.0040916635753158,120,1158,121,254,158,251
18,2,142.17625832557678,00:02:22,153533,191,0.009485840797424316,0.011171300895512104,3.6360868981608885,4,0.0008585889381015196,61,202,182,203,223,183,58
19,2,279.255574464798,00:04:39,82116,777,0.007066883612424135,0.009043690748512745,3.5991425218920687,3,0.0015344130899373374,133,788,168,151,148,109
20,2,613.0853734016418,00:10:13,117761,1289,0.00529224518686533,0.008372018113732338,3.007204625772742,4,0.0005645315595794408,90,1312,60,204,189,231,70
21,2,622.2411732673645,00:10:22,116701,1305,0.005306732375174761,0.008661365136504173,3.0783018623356617,4,0.0005606548847706094,88,1342,54,202,197,228,64
22,2,616.5025017261505,00:10:16,107834,1273,0.006922821514308453,0.009633226320147514,3.250896315774021,4,0.0002276109236494359,96,1395,17,241,198,219,46
23,2,704.3541457653046,00:11:44,113778,1222,0.005172983277589083,0.008046019822359085,2.888912106335331,4,0.0004215064769403763,68,1230,110,201,142,177,144
24,2,693.1029727458954,00:11:33,76373,1123,0.006073264870792627,0.008552782237529755,2.93809499865098,3,0.00043249828572147796,62,1230,66,206,142,181
25,2,863.214106798172,00:14:23,101596,1170,0.005341292824596167,0.007987037301063538,2.867378963410206,3,0.00021045343878283945,47,1222,111,236,151,180
26,2,1261.7655880451202,00:21:01,72173,1472,0.005397884175181389,0.008046130649745464,2.9211800092223594,2,0.0002032304324644773,34,1492,118,231,138
27,2,717.6366419792175,00:11:57,89013,1067,0.006167326122522354,0.008461464196443558,3.0356454757134657,3,0.0001405013814498379,51,1096,100,236,150,125
28,2,593.1220767498016,00:09:53,72923,1127,0.005991223268210888,0.008253572508692741,3.2931431870260774,3,0.0002559442819603034,76,1229,130,163,112,170
29,2,1010.4226641654968,00:16:50,122057,1280,0.005386332981288433,0.008167042396962643,2.9523727509557207,4,0.00018624787688709428,48,1408,78,193,216,146,168
30,2,250.2590034008026,00:04:10,53891,1057,0.008686097338795662,0.011520076543092728,3.521116273733078,2,0.00010100895024923568,220,1060,107,244,66
31,2,1073.6659393310547,00:17:53,77342,1226,0.005807820241898298,0.008315833285450935,2.9000489538818,2,0.00020449636004915447,32,1231,124,224,160
32,2,561.0178456306458,00:09:21,42935,1073,0.008050862699747086,0.00996976625174284,3.4618586906864137,1,0.00016675351248631275,69,1232,133,213
33,2,826.2869322299957,00:13:46,66612,996,0.0060628424398601055,0.008362071588635445,3.0481869315820784,2,0.0003085402556952178,35,1021,84,232,162
34,2,935.662296295166,00:15:35,74278,1133,0.005767240189015865,0.008070971816778183,2.90104986239042,3,0.00040532615399908775,48,1399,125,192,134,81
35,2,1065.5950245857239,00:17:45,68988,1159,0.005635847803205252,0.008122100494801998,2.85648089171301,2,0.00025029666408316704,33,1231,103,248,129
36,2,460.3511264324188,00:07:40,68303,896,0.0076026772148907185,0.009125132113695145,3.636459149012979,3,0.000277731969712725,76,952,146,96,132,193
37,2,759.8551290035248,00:12:39,103257,1158,0.006080885883420706,0.008592293597757816,3.066388234544171,4,0.00012913400931231645,56,1170,100,248,125,129,154
38,2,1047.687683582306,00:17:27,64499,1323,0.006574828177690506,0.008815726265311241,3.0725729892911575,2,0.0007221060152854589,42,1443,43,255,189
39,2,331.05631256103516,00:05:31,39647,971,0.008624444715678692,0.010848619043827057,3.367573283098654,1,0.0003726970983220718,116,1034,145,165
40,2,271.15380477905273,00:04:31,94026,838,0.006806063465774059,0.009046530351042747,3.0741155245638323,4,0.0004819856899802933,195,905,109,124,115,173,196
41,2,1078.8698253631592,00:17:58,65031,1171,0.0061870901845395565,0.00864142645150423,2.9263095573167295,2,0.00021206933875010637,33,1259,91,220,158
42,2,988.5346448421478,00:16:28,85037,1034,0.006079700775444508,0.00824125949293375,2.9262473730610985,2,0.0001542268747936537,32,1113,134,231,170
43,2,658.3126196861267,00:10:58,91100,1329,0.005624271929264069,0.008122322149574757,2.89937116669567,2,0.00025272767466763806,69,1339,161,216,179
44,2,581.5528929233551,00:09:41,83537,1339,0.0054175336845219135,0.007967148907482624,3.1638637510864216,2,0.0003312629716286904,82,1354,159,195,180
45,2,603.0334296226501,00:10:03,56883,1168,0.006840297020971775,0.0089564872905612,3.1046642333749817,1,0.00026584203065597924,67,1287,178,211
46,2,580.6528520584106,00:09:40,124215,1390,0.0050382791087031364,0.007576244883239269,2.9037532858284627,3,0.0007228261198376329,102,1463,220,241,104,212
47,2,795.8494579792023,00:13:15,78965,1173,0.006744955200701952,0.008949552662670612,3.143619160376211,2,0.00011866942677622178,56,1393,146,178,207
48,2,568.4975953102112,00:09:28,82868,1179,0.006697145756334066,0.008725934661924839,3.2923513157205253,4,0.00017185041064835823,84,1182,74,225,147,96,109
49,2,378.29954504966736,00:06:18,67195,1279,0.006013154052197933,0.008326550014317036,3.0202749721433455,2,0.0012469338360444045,165,1354,112,188,179
50,2,354.07260394096375,00:05:54,32411,447,0.010653912089765072,0.012808097526431084,4.097564302816085,3,0.00023502899518316827,44,469,86,23,127,141
51,2,748.641508102417,00:12:28,75167,1233,0.005592205561697483,0.008294831961393356,2.9801180715006046,2,0.00032656756260165476,53,1281,121,219,161
52,2,216.58614492416382,00:03:36,82255,281,0.0085910027846694,0.010467221029102802,3.3606825154782456,2,0.00042808803119155604,40,286,140,229,152
53,2,602.1007926464081,00:10:02,85684,1170,0.006008309777826071,0.008632231503725052,3.062722650320924,2,0.00020681281849541813,67,1182,155,212,169
54,2,600.866199016571,00:10:00,69797,1085,0.0065680150873959064,0.008756089955568314,3.283770513762426,2,0.0002597750961128451,59,1091,103,241,139
55,2,814.6468329429626,00:13:34,41927,1209,0.007765428628772497,0.010017674416303635,3.1693969035893628,1,0.0001775518285993119,42,1219,117,247
